Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Diversity Spotlight,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Closed Date,Closed Date Precision,Exit Date,Exit Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Actively Hiring,Full Description,Hub Tags,Number of Sub-Orgs,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,School Method,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
Oculan,https://www.crunchbase.com/organization/oculan,"Intelligent Systems, Network Hardware, Project Management","Raleigh, North Carolina, United States",Oculan provides network and system management services to value-added resellers.,"1,708,565","Research Triangle, East Coast, Southern US",27606,,,Closed,2001-07-01,month,2010-08-13,day,2005-06-09,day,For Profit,http://www.oculan.com/,,,,,,1,,Oculan develops appliances designed to help small and midsize companies manage and detect intrusion on their networks.,,,,,,,,,,,,,,,,,,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Hardware, Other, Science and Engineering",,,,1,M&A,2003-03-18,5000000,USD,5000000,Series C,5000000,USD,5000000,Series C,5000000,USD,5000000,5000000,USD,5000000,Soros Private Equity Partners,1,1
Switchboard Sally,https://www.crunchbase.com/organization/switchboard-sally,"Artificial Intelligence (AI), Cloud Security, Communities, Identity Management, Predictive Analytics, Privacy, Social Network","San Francisco, California, United States","Switchboard Sally leverages the transformational potential of artificial intelligence, trustworthy computing and blockchain technologies.","1,716,813","San Francisco Bay Area, West Coast, Western US",,Women Founded,,Active,2013-09-13,day,,,,,For Profit,http://switchboardsystems.com,,,,elizabeth@switchboardsally.com,,,,"Switchboard Sally is a technology company that offers AI-based services to its clients. Switchboard Sally’s range of services include identity management, digital asset value creation, content distribution, and data monetization. Switchboard Sally was founded in 2013 by Patrick and Elizabeth Deegan and is based in California.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Information Technology, Internet Services, Privacy and Security, Science and Engineering, Software",2,"Elizabeth Deegan, Patrick Deegan",1-10,1,Seed,2014-05-01,175000,USD,175000,Seed,175000,USD,175000,Seed,175000,USD,175000,175000,USD,175000,,,
"Givella, LLC",https://www.crunchbase.com/organization/givella-llc,"Analytics, Predictive Analytics, Search Engine","Denver, Colorado, United States",Profound Loyalty + Analytics. Deep Social Impact.,"1,730,907","Greater Denver Area, Western US",80202,,Less than $1M,Active,2014-11-01,day,,,,,For Profit,http://www.givella.com,https://www.twitter.com/mygivella,https://www.facebook.com/mygivella,https://www.linkedin.com/company/4808026,contact@givella.com,,,,"Givella, LLC is a mobile fund raising business. It provides an app that enables its users to fund nonprofit of orgainzations without any cost. The app lists merchants that donate 10% from the purchases made through the app. Givella, LLC was founded by Chris Jensen in 2014 and is headquartered in Denver, Colorado.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Software",1,Chris Jensen,1-10,1,,2015-04-01,,,,Undisclosed,,,,Undisclosed,,,,,,,,,
C2cube,https://www.crunchbase.com/organization/c2cube,"Analytics, Artificial Intelligence (AI), Natural Language Processing","Tokyo, Tokyo, Japan",Development of a Japanese language analysis engine,"1,739,676",Asia-Pacific (APAC),151-0053,,,Active,2003-01-01,year,,,,,For Profit,http://www.c2cube.com/,,,,,+810353501488,,,"C2cube Inc. develops and provides Japanese speech-processing systems and language analysis engine. The company is based in Tokyo, Japan.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,1-10,1,,2006-11-01,,,,Venture - Series Unknown,,,,Venture - Series Unknown,,,,,,,Mobile Internet Capital,,1
appweevr,https://www.crunchbase.com/organization/appweevr,"Ad Targeting, Analytics, Big Data, Natural Language Processing","Attikí, Attiki, Greece",Appweevr is a consulting company that helps online content publishers better understand their audience and create more engaging content.,"1,749,609","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,$1M to $10M,Active,2011-01-01,year,,,,,For Profit,http://www.appweevr.com,http://twitter.com/Appweevr,,https://www.linkedin.com/company/appweevr,sales@appweevr.com,,,,"Appweevr keeps track of what engages your users and why.  Get high value content insights and behavioral segmentation based on participation. Appweevr is an accurate content and behavioral analytics engine that gets input from and provides output to appweevr website plugins or third party tools via an open API in order to engage audiences, provide customer intelligence and  target promoted content to registered users. Customers can opt-in unobstructive post-ads revenue models and provide API access to appweevr partners in order to monetize user participation",,,,,,,,,,,,,,,,,,,"Advertising, Artificial Intelligence (AI), Data and Analytics, Software",,,11-50,1,Seed,2011-01-01,2800000,EUR,3744637,Seed,2800000,EUR,3744637,Seed,2800000,EUR,3744637,2800000,EUR,3744637,IMC,,1
BootstrapWorks,https://www.crunchbase.com/organization/bootstrapworks,"Advice, Machine Learning, Social Entrepreneurship","Redwood City, California, United States",BootstrapWorks matches entrepreneurs with top tier advisors using data and machine learning to empower them to execute at their best.,"1,762,023","San Francisco Bay Area, Silicon Valley, West Coast",94063,,,Active,2008-01-01,year,,,,,For Profit,https://bootstrapworks.com,https://www.twitter.com/bootstraplabs,https://www.facebook.com/bootstraplabs,,info@bootstraplabs.com,+1 (415) 935-1469,,,"BootstrapWorks provides a mobile application that helps to match entrepreneurs with top tier advisors using data and machine learning to empower them to execute at their best. It enables top advisors to easily connect and quickly engage with relevant startups, while removing the friction of contracts, cash versus equity payment models, etc. The company was established in year 2010.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Media and Entertainment, Social Impact, Software",,,1-10,1,Seed,2016-01-01,,,,Seed,,,,Seed,,,,,,,BootstrapLabs,1,1
Joognu,https://www.crunchbase.com/organization/joognu,"Artificial Intelligence (AI), Parenting, Software","Ahmedabad, Gujarat, India","Joognu is a parent focused web based platform, enabling its users to share videos and photos of their children's experiences and memories.","1,775,668",Asia-Pacific (APAC),380009,,$10M to $50M,Active,2011-08-15,day,,,,,For Profit,http://www.joognu.com,http://twitter.com/joognudotcom,http://www.facebook.com/JoognuMemories,,support@joognu.com,91 79 4002 3147,3,,"Joognu is a parent-focused web-based platform that allows users to store, organize, and share their children’s experiences and memories.  The site and app let parents upload video and photos along with journal posts they write.  All of this is stored online and can be accessed later when the parent wants to string these “memories” together using the site’s Weaver feature – which helps users string together their children’s life moments into a sharable digital timeline.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Science and Engineering, Software",3,"Anirvan Dam, Lovekesh Sharma, Pallavi Dam",1-10,1,Seed,2013-01-01,100000,USD,100000,Seed,100000,USD,100000,Seed,100000,USD,100000,100000,USD,100000,"IAN Group, Kishore Gokhru",,2
Babbo,https://www.crunchbase.com/organization/babbo,"Education, Internet, Machine Learning, Social Media, Video","Berlin, Berlin, Germany",With Babbo you can learn a language from real life web content that fits your interests and proficiency level.,"1,782,958","European Union (EU), Europe, Middle East, and Africa (EMEA)",10243,,$1M to $10M,Active,1998-01-01,year,,,,,For Profit,http://www.getbabbo.com,,,,,,2,,"With Babbo you can learn a language from real life web content that fits your interests and proficiency level. Their machine learning technology recommends engaging texts, audio and video that form the basis of an interactive and fun learning experience.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Education, Internet Services, Media and Entertainment, Software, Video",,,1-10,1,,2014-03-21,,,,Non-equity Assistance,,,,,,,,,,,Microsoft Accelerator Berlin,,1
emotuit,https://www.crunchbase.com/organization/emotuit,"Analytics, Apps, Education, Machine Learning","Redwood City, California, United States",Engagement Analytics in eLearning. Helping teachers understand where their students and content aren't engaged/ing,"1,785,418","San Francisco Bay Area, Silicon Valley, West Coast",94065,,Less than $1M,Active,2014-03-08,day,,,,,For Profit,http://www.emotuit.com,http://twitter.com/emotuit,http://facebook.com/emotuit,https://www.linkedin.com/company/emotuit,ross@emotuit.com,+44 20 8123 0120,,,"Engagement Analytics, Efficacy of Content & Adaptive Personalised Learning using facial expression recognition to understand when a student is / isn't engaged and where content is not engaging students. Taking that data to give teachers and content providers easy actionable takeaways.  Taking it a step further, we're working to adapt the students course path, based on their responses, giving them a personalised learning experience.",,,,,,,,,,,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Education, Software",3,"Dave Shaw, Ross Jones, Sean Burton",1-10,1,Seed,2015-01-01,,,,Seed,,,,Seed,,,,,,,BoomStartup,,1
Ropazi,https://www.crunchbase.com/organization/ropazi-2,"Artificial Intelligence (AI), E-Commerce, Fashion, Mobile, Natural Language Processing","Stanford, California, United States",Ropazi is the fun and easy new way to shop and purchase children's clothing via text messaging with the help of a personal shopper.,"1,790,521","San Francisco Bay Area, West Coast, Western US",,Women Founded,Less than $1M,Closed,2014-08-01,day,2018-06-27,day,,,For Profit,http://www.ropazi.com,http://twitter.com/ropazi4kids,http://www.facebook.com/ropazi,https://www.linkedin.com/company/ropazi,sophia@ropazi.com,,3,,"Ropazi is a cloud-based conversational commerce platform focused on kids’ clothing - a $60B opportunity. We offer consumers the experience of delegating the time consuming drudgery of shopping for kids clothing to a personal shopper, named Samantha, which is actually a platform where multiple shoppers work together using human-assisted AI for shopping.  The way of the future involves consumers having the ability to converse with businesses using text messaging. Verticalization of this chat-based commerce will take stronghold as Artificial Intelligence and Natural Language Processing will become more accurate at personalizing their recommendations in a specified domain (e.g. parents or restaurants). Consumers will not need to download an app or go to a website to fill out long checkout forms.  In Ropazi's case, moms & dads simply engage with Ropazi’s personal shoppers via text message. Our quest to make a parent's life more convenient starts with helping them buy kids’ clothes.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Clothing and Apparel, Commerce and Shopping, Data and Analytics, Design, Mobile, Science and Engineering, Software",2,"Nauman Qureshi, Sophia Salim",1-10,1,Seed,2015-09-16,,,,Seed,,,,Seed,,,,,,,,,
FOUR GRID,https://www.crunchbase.com/organization/four-grid,"Analytics, Artificial Intelligence (AI), Big Data, Machine Learning","Seongnam, Kyonggi-do, South Korea",Four Grid offers big data and machine learning services.,"1,804,776",Asia-Pacific (APAC),,,$1M to $10M,Active,2015-01-01,year,,,,,For Profit,http://www.4grit.com,,https://www.facebook.com/4grit,https://www.linkedin.com/company/4grit/,biz@4grit.com,031-625-4397,,,,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,1-10,1,,2015-08-11,,,,Non-equity Assistance,,,,,,,,,,,TIPS Program,1,1
AU Zhineng,https://www.crunchbase.com/organization/au-zhineng,"Artificial Intelligence (AI), Augmented Reality, Machine Learning","Hangzhou, Zhejiang, China",AU Zhineng is an augmented reality technology that provides machine learning services.,"1,808,854",Asia-Pacific (APAC),,,,Closed,,,,none,,,For Profit,http://www.au-smart.cn/,,,,,0571-82810651,,,,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",2,"Shujian Ma, Xiaofang Li",51-100,1,Early Stage Venture,2013-10-12,10000000,CNY,1633837,Series A,10000000,CNY,1633837,Series A,10000000,CNY,1633837,10000000,CNY,1633837,"Yida Cultural Creative, Shuangkeda Textile",,2
Wormhole,https://www.crunchbase.com/organization/wormhole,"Apps, Machine Learning, Telecommunications","Beijing, Beijing, China",Downloads the first voice assistant,"1,810,906",Asia-Pacific (APAC),,,Less than $1M,Active,2011-01-01,year,,,,,For Profit,http://www.uzoo.cn/,,,,,,1,,,,,,,,,,,,,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Hardware, Software",,,11-50,1,Seed,2012-07-07,,,,Seed,,,,Seed,,,,,,,Microsoft Accelerator,,1
Steamsharp Technology,https://www.crunchbase.com/organization/steamsharp-technology,"Analytics, Big Data, Enterprise Software, Machine Learning, Software, Sports","Vancouver, British Columbia, Canada",Steamsharp is a sports analytics company that provides an automated API for all-play oddsmaking data.,"1,823,652",,V6R 2G9,,,Closed,2011-04-05,day,2021-11-25,day,,,For Profit,http://steamsharp.com/,http://twitter.com/steamsharp,,https://www.linkedin.com/company/steamsharp/,bernie@steamsharp.com,16047151879,,,"Steamsharp Technology is an enterprise class software company that automatically collects, calculates and generates dynamic pre game & In play prices using deep data and driven by complex analytics calculated in near milliseconds of North American Sports for the European, Asian and Canadian markets.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Software, Sports",,,1-10,1,Seed,2013-03-05,400000,USD,400000,Angel,400000,USD,400000,Angel,400000,USD,400000,400000,USD,400000,,,
Retrace Corporation,https://www.crunchbase.com/organization/retrace-corporation,"Analytics, Data Integration, Data Mining, Data Visualization, Market Research, Mobile Devices, Predictive Analytics","Seattle, Washington, United States",Retrace provides market intelligence to the cell phone industry through a proprietary Business and Analytics Platform.,"1,840,201","Greater Seattle Area, West Coast, Western US",98109,,Less than $1M,Active,2014-01-01,day,,,,,For Profit,http://retracecorp.com/,,https://www.facebook.com/retracecorp/,https://www.linkedin.com/company/retrace-corporation/,info@retracecorp.com,,1,,,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Design, Hardware, Information Technology, Mobile, Software",2,"Michael Rubel, Seth Heine",1-10,1,Seed,2014-01-01,1000000,USD,1000000,Seed,1000000,USD,1000000,Seed,1000000,USD,1000000,1000000,USD,1000000,,,
iTARGE,https://www.crunchbase.com/organization/itarge,"Artificial Intelligence (AI), Software, Transportation","Beijing, Beijing, China","iTARGE is technology company that develops big data platforms, technological software, and hardware products.","1,846,380",Asia-Pacific (APAC),,,,Active,2009-02-17,day,,,2016-05-26,day,For Profit,http://www.itarge.com/,,,https://www.linkedin.com/company/%E5%8C%97%E4%BA%AC%E8%8B%B1%E6%B3%B0%E6%99%BA%E8%BD%AF%E4%BB%B6%E6%8A%80%E6%9C%AF%E5%8F%91%E5%B1%95%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,sales@itarge.com,010-62119772,,,"iTARGE is an open tech firm. The company uses the cloud with edge and end collaboration as the system architecture and combines 5G, AI, and Internet of Things technologies to provide smart transportation and smart communities, smart parks, smart epidemic prevention, smart fire protection, emergency command, and other digital city services. These services rely on machine vision analysis algorithms with individual intellectual property rights, professional software and hardware products, and customized big data platforms.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation",1,Yunfei Yang,101-250,1,IPO,2013-07-26,26640000,CNY,4337654,Angel,26640000,CNY,4337654,Angel,26640000,CNY,4337654,26640000,CNY,4337654,"Minsheng Securities, Beijing Tianze Investment Management, Shaanxi Huayu Venture Capital",,3
N42,https://www.crunchbase.com/organization/n42,"Analytics, Application Performance Management, Cloud Management, Data Center, Machine Learning, Software, Virtualization","Mountain View, California, United States",Intelligent Operations for Modern Applications & Infrastructure,"1,852,380","San Francisco Bay Area, Silicon Valley, West Coast",94043,,,Closed,2014-03-26,day,2018-07-25,day,,,For Profit,,,,,info@networks42.com,,4,,N42 is focused on the development of intelligent operations for modern applications and infrastructure. The company was founded by Gopal Dommety in March 2014.,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Software",1,Gopal Dommety,11-50,1,,2014-05-01,1000000,USD,1000000,Convertible Note,,,,,,,,1000000,USD,1000000,SK Telecom Americas Innopartners,,1
Eekoh,https://www.crunchbase.com/organization/eekoh,"Artificial Intelligence (AI), Internet","Los Angeles, California, United States",Eekoh is an intelligent reverse search engine that connects users to information they want to see.,"1,910,825","Greater Los Angeles Area, West Coast, Western US",90028,,,Closed,2013-07-01,day,2016-06-01,day,,,For Profit,http://www.eekoh.com,http://twitter.com/eekohsystem,http://www.facebook.com/eekoh,,info@eekoh.com,,,,"Eekoh is an intelligent reverse search engine that connects users to information they want to see. Its AI learns what interests its users the most and predictively brings contextual information from the internet and apps into their own personal feed, at the correct time. Eekoh was launched in 2013 and is based in Los Angeles, California.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software",1,Jonathan Buckridge,11-50,1,Seed,2014-04-04,550000,USD,550000,Seed,550000,USD,550000,Seed,550000,USD,550000,550000,USD,550000,,,
"Black Pin, Inc.",https://www.crunchbase.com/organization/black-pin-inc,"Artificial Intelligence (AI), Consumer Electronics, Education","Albuquerque, New Mexico, United States",Machine Learning Computer Vision,"1,934,116",Western US,,,,Active,2015-06-20,day,,,,,For Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Education, Hardware, Science and Engineering, Software",3,"John Strong, Jordan Medlock, Kyle Laktasic",1-10,1,Private Equity,2015-07-07,,,,Private Equity,,,,Private Equity,,,,,,,,,
Marsýn,https://www.crunchbase.com/organization/marsyn,"Intelligent Systems, Marine Technology","Reykjavík, Gullbringusysla, Iceland",Marsýn ehf provides accurate and up-to-date information on oceanic condition for the fishing industry.,"1,934,842","Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",101,,,Active,2012-01-01,year,,,,,For Profit,http://www.marsyn.is,,,,runam@hi.is,,,,"Todays ﬁshing industry is more than ever dependent on information about the ocean-atmosphere system. Whereby, the access and interpretation of atmospheric (e.g. wind speed and direction, visibility, sea level pressure or air temperature) and oceanic (e.g. wave heights, sea level height, currents, temperature, salinity, nutrient concentration or plankton densities) data forms the base of successful strategies implemented while ﬁshing and sailing across the Atlantic. Marsýn ehf proposes to meet this demand for accurate and up-to-date information on ocean condition. Based on extensive research we have constructed a marine information system for the mid north Atlantic waters which provides forecasts on ocean conditions in high resolution. Future versions will use an even higher spatial resolution and include information about target ﬁsh aggregations.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering",1,Gudrun Marteinsdottir,1-10,2,,2014-03-01,10000000,ISK,88652,Grant,,,,,,,,20000000,ISK,168195,Technology Development Fund,1,1
IntelliChem,https://www.crunchbase.com/organization/intellichem,"Biotechnology, Information Technology, Intelligent Systems, Product Design","Bend, Oregon, United States","IntelliChem is a provider of intelligent electronic lab notebooks (iELN), which improve productivity and quality while ensuring regulatory","1,934,956","West Coast, Western US",,,,Active,1998-01-01,year,,,2013-06-24,day,For Profit,,,,,,,,,"IntelliChem is a provider of intelligent electronic lab notebooks (iELN), which improve productivity and quality while ensuring regulatory compliance in the pharmaceutical and biotech industry.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Design, Information Technology, Science and Engineering",,,11-50,1,M&A,2002-12-19,,,,Private Equity,,,,Private Equity,,,,,,,Summit Partners,,1
RetailSights,https://www.crunchbase.com/organization/retailsights,"Artificial Intelligence (AI), Information Technology, Machine Learning, Retail, SaaS, Software","Boston, Massachusetts, United States",RetailSights generate actionable insights to brands through computer vision to help them understand shoppers behavior in their stores. ,"1,952,695","Greater Boston Area, East Coast, New England",02210,,$1M to $10M,Active,2012-01-01,year,,,,,For Profit,http://www.retailsights.com,,,https://www.linkedin.com/company/retailsights,contact@retailsights.com,,,," RetailSights generate actionable insights to brands through computer vision to help them understand shoppers behavior in their stores.  RetailSights aim to increase sales & reduce unnecessary cost for brands by delivering a dashboard with real actionable insights of in-store customers behavior. They place cameras and with their artificial intelligence technology extract information like gender, age group, interaction with the shelf, path in the store, among others. With powerful Big Data and A.I. tools they automatically synthetize this information with business rules and behavioral economics models to deliver recommendations ",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Information Technology, Science and Engineering, Software",,,11-50,2,,2014-11-01,,,,Grant,,,,Venture - Series Unknown,,,,,,,"Wayra, MassChallenge",,2
PetBath America,https://www.crunchbase.com/organization/petbath-america,"Medical Device, Pet, Predictive Analytics","Atlanta, Georgia, United States","PetBath is the first ever product introduced to the world, which is a portable self-contained bathing device for the pet.","1,956,231","Greater Atlanta Area, East Coast, Southern US",30349,,$1M to $10M,Active,2011-01-01,day,,,,,For Profit,http://www.petbathamerica.com/,https://www.twitter.com/petbathamerica,https://www.facebook.com/petbath,,petbathamerica@gmail.com,17708915688,,,"PetBath is the first ever product introduced to the world, which is a portable self-contained bathing device for the pet. All but the pet’s head is in the unit that has water jets that apply water/shampoo/conditioner while the parent washes from wide access doors. This PATENTED product, allows for all the muss & fuss associated with pet bathing to take place inside the unit. PetBath allows the parent to wash their pet and not themselves and eliminates back pain and discomfort associated with pet bathing! They will manufacture five sizes and will be Made in the USA.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Health Care, Software",1,Derrick C. Anderson,1-10,1,,2014-02-11,500000,USD,500000,Convertible Note,,,,,,,,500000,USD,500000,,,
SwissLeg,https://www.crunchbase.com/organization/swissleg,"Artificial Intelligence (AI), Manufacturing, Medical Device","Lugano, Ticino, Switzerland",SwissLeg provides affordable artificial limbs to amputees in the developing world.,"1,970,165","Europe, Middle East, and Africa (EMEA)",6900,,$1M to $10M,Closed,2012-01-01,year,,none,,,For Profit,http://swissleg.com,https://twitter.com/SwissLeg,https://www.facebook.com/SwissLeg,https://www.linkedin.com/company/swissleg,info@swissleg.com,,,,"SwissLeg, offers affordable, functional and durable prosthetic legs to amputees who have unfavorable options and resources to secure their own mobility. They combine an innovative design, a simple and fast manufacturing process, to give amputees in the possibility to walk and run at a minimal cost. They believe that walking is a basic human right that should be enjoyed by all people and they would like to see this global humanitarian need for low cost, comfortable prostheses satisfied with an affordable and economically viable solution for amputees the world over.  Their team would like to make a difference in the lives of millions of amputees in the developing world and in the process reshape the global prosthetic industry. ",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Manufacturing, Science and Engineering, Software",2,"Paulo Gonçalves, Roberto Agosta",1-10,3,Seed,2013-07-03,100000,CHF,105531,Pre-Seed,100000,CHF,105531,Pre-Seed,100000,CHF,105531,150000,CHF,159211,Venture Kick,1,1
Green Phosphor,https://www.crunchbase.com/organization/green-phosphor,"Analytics, Artificial Intelligence (AI), Software, Virtual World","Tallahassee, Florida, United States","Green Phosphor LLC develops a 3D user interface technology. Its flagship product, Glasshouse, creates a 3D interactive data analysis","1,977,742","East Coast, Southern US",32303,,Less than $1M,Active,2007-01-01,year,,,,,For Profit,http://greenphosphor.com,,,,admin@greenphosphor.com,850-980-6988,,,"Green Phosphor LLC develops a 3D user interface technology. Its flagship product, Glasshouse, creates a 3D interactive data analysis environment from a SQL database. The company also offers Content Injection and Control Protocol that allows applications to place interactive content into virtual worlds, as well as helps developers of artificial intelligence services, architectural model gateways to virtual worlds, process modeling systems, and other applications. Green Phosphor LLC was incorporated in 2007 and is based in Talahassee, Florida.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Media and Entertainment, Science and Engineering, Software",2,"Ben Lindquist, Edward London",1-10,1,Seed,2009-10-14,125000,USD,125000,Seed,125000,USD,125000,Seed,125000,USD,125000,125000,USD,125000,,,
Gather.md,https://www.crunchbase.com/organization/gather-md,"Health Care, Information Technology, Predictive Analytics","San Francisco, California, United States",Gather.md provides actionable analytics for personal health.,"1,993,803","San Francisco Bay Area, West Coast, Western US",,,,Closed,2012-01-01,year,,none,,,For Profit,http://gather.md,http://twitter.com/gathermd,,,hello@gather.md,,,,Gather provides actionable analytics for personal health. Gather is a U.S.-based company that was founded in 2012 by Tony Webster and John Schrom.,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Software",2,"John Schrom, Tony Webster",1-10,1,,2012-02-01,20000,USD,20000,Grant,,,,,,,,20000,USD,20000,Rock Health Capital,,1
CANIV TECH,https://www.crunchbase.com/organization/caniv-tech,"Analytics, Machine Learning, Software","Albuquerque, New Mexico, United States",Predictive Network analytics platform,"2,037,408",Western US,87112-2540,,$1M to $10M,Active,2014-01-01,year,,,,,For Profit,http://caniv-tech.com,,,https://www.linkedin.com/company/caniv-tech,,,,,CANIV TECH's Predictive Network Analytics platform provides Machine Learning based predictions based on network data,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Software",,,1-10,1,,2015-12-16,,,,Grant,,,,,,,,,,,,,
Smart Data,https://www.crunchbase.com/organization/smart-data-c398,"Artificial Intelligence (AI), Data Mining, Software","Fengtai, Beijing, China","Smart Data specializes in data mining, data analysis, and artificial intelligence services.","2,071,198",Asia-Pacific (APAC),,,,Active,2011-07-19,day,,,,,For Profit,http://www.smart-data.cn/,,,https://www.linkedin.com/company/%E6%98%8E%E5%8D%9A%E6%99%BA%E5%88%9B-%E5%8C%97%E4%BA%AC-%E8%BD%AF%E4%BB%B6%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8,,13121393616,,,,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",1,Bo Liu,1-10,1,Seed,2012-09-26,3000000,CNY,476014,Angel,3000000,CNY,476014,Angel,3000000,CNY,476014,3000000,CNY,476014,Fudewu Sheng,,1
Hitranslator,https://www.crunchbase.com/organization/hitranslator,"Language Learning, Natural Language Processing, Translation Service","Xian Shi, Shaanxi, China",Hitranslator is a translation platform that provides language services.,"2,090,710",Asia-Pacific (APAC),,,,Active,2018-01-01,day,,,,,For Profit,https://www.hitranslator.com/,,,https://www.linkedin.com/company/hitranslator/,hi@hitranslator.com,86 15129272512,,,"Hitranslator is a software development company. They provide services for translation, translation services, interpretation services, expatriation, localization, globalization, language studies, natural language processing, translation services, globalisation services, and software localization. Their customers' inquiries are addressed through phone, email, and online applications.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Education, Professional Services, Software",,,1-10,1,Seed,2013-08-12,3000000,CNY,489472,Angel,3000000,CNY,489472,Angel,3000000,CNY,489472,3000000,CNY,489472,,,
pansum,https://www.crunchbase.com/organization/pansum,"Commercial, Intelligent Systems, Robotics","Nanshanqu, Guangdong, China",pansum is a cooking robot development company.,"2,103,762",Asia-Pacific (APAC),,,$10M to $50M,Active,2003-11-19,day,,,2015-11-26,day,For Profit,http://www.pansum.com,,,,com@pansum.com,,,,"Pansum is a catering technology solution company. They provide intelligent cooking robots that promote the revolution of catering production methods and the application of modern technology, information technology, and modern management methods.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Other, Science and Engineering, Software",,,11-50,3,IPO,2011-12-29,15430000,CNY,2441360,Series B,15430000,CNY,2441360,Series B,19330000,CNY,3012318,19330000,CNY,3012318,"Jialili Venture Capital, Jingshi Investment, Tianjixing Investment",1,3
