Organization Name,Organization Name URL,Full Description,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Exit Date,Exit Date Precision,Trademarks Registered,Monthly Visits,Active Tech Count,Total Products Active,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Downloads Last 30 Days,Most Popular Patent Class,Most Popular Trademark Class,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Number of Funding Rounds,Last Funding Date,Headquarters Regions,Estimated Revenue Range,Top 5 Investors,Most Recent Valuation Range,Date of Most Recent Valuation,Patents Granted,IPO Status,Postal Code,Founded Date,Founded Date Precision,Company Type,Website,LinkedIn,Number of Exits,Number of Exits (IPO),Industry Groups,Number of Founders,Founders,Number of Employees,Funding Status,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,CB Rank (Organization),CB Rank (Company)
Crossing Minds,https://www.crunchbase.com/organization/crossing-minds,"Crossing Minds is the smartest platform powering perceptive recommendations that drive online discovery and engagement. Founded and led by world-renowned AI pioneers and powered by the latest advances in deep learning, Crossing Minds instantly delivers precise, session-based recommendations that don’t infringe on or jeopardize customer privacy.  We help businesses engage their customers. We help people discover products they love. We help turn curiosity into loyalty.","Artificial Intelligence (AI), Information Technology, Machine Learning, Software","San Francisco, California, United States",The smartest recommendation platform for your business.,13500000,USD,13500000,,,1,"18,090",23,21,13500000,USD,13500000,,,Scientific and technological services,,,,7,2022-04-21,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,"Creative Destruction Lab (CDL), Radical Ventures, StartX (Stanford-StartX Fund), Index Ventures, CASSIUS",,,0,Private,94103,2017-01-01,day,For Profit,http://www.crossingminds.com,https://www.linkedin.com/company/crossing-minds/,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",3,"Alexandre Robicquet, Emile Contal, Sebastian Thrun",11-50,,Corporate Round,,,,Corporate Round,2,11,,,"10,937","10,923"
Octane AI,https://www.crunchbase.com/organization/octane-ai,"Trusted by 1,000+ Shopify and Shopify plus brands, Octane AI provides an all-in-one platform for engaging quizzes, data collection, and personalized Facebook Messenger and SMS automation. Merchants use Octane AI to connect, convert, and retain customers by personalizing the customer journey and giving customers the confidence to purchase. Octane AI is backed by top Silicon Valley investors, including Bullpen Capital, General Catalyst, FJLabs, M Ventures, and the founders of Hipmunk, Hearsay Systems, and Articulate. The company is all-remote and employs team members in 10+ countries. It was founded in 2016 by Matt Schlicht, Ben Parr, and Leif K-Brooks.","Artificial Intelligence (AI), Data Collection and Labeling, E-Commerce, Marketing Automation, SaaS, SMS","San Francisco, California, United States","Octane AI provides an all-in-one platform for engaging quizzes, data collection, and personalized Facebook Messenger and SMS automation.",10750000,USD,10750000,,,4,"32,949",81,79,10750000,USD,10750000,,Electric Communication Technique,Scientific and technological services,5000000,USD,5000000,4,2021-07-20,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,"Boost VC, General Catalyst, Javelin Venture Partners, Mana Ventures, TriplePoint Ventures",$50M to $100M,2021-07-20,2,Private,94120,2016-01-01,year,For Profit,https://www.octaneai.com,https://www.linkedin.com/company/octane-ai,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Internet Services, Messaging and Telecommunications, Sales and Marketing, Science and Engineering, Software",3,"Ben Parr, Leif K-Brooks, Matt Schlicht",51-100,,Venture - Series Unknown,5000000,USD,5000000,Venture - Series Unknown,3,16,,,"10,943","10,929"
MioTech,https://www.crunchbase.com/organization/miotech,"MioTech is an artificial intelligence platform that empowers investment managers to better serve their clients in a world of complex data. By integrating and analyzing data from all types of sources, MioTech streamlines the entire investment process, creating an ultimate data-driven investing experience. MioTech has offices in Shanghai and Hong Kong. MioTech is backed by Horizons Ventures, ZhenFund, and prestigious individual investors around the world.","Analytics, Artificial Intelligence (AI), Finance, Financial Services, FinTech","Sheung Wan, Hong Kong Island, Hong Kong",MioTech is an artificial intelligence platform that provides users with ESG data to draw actionable insights on their data.,8000000,USD,8000000,,,,"1,327",49,10,8000000,USD,8000000,,,,,,,9,2024-01-26,Asia-Pacific (APAC),$10M to $50M,"HSBC, Horizons Ventures, ZhenFund, Palm Drive Capital, Moody's Investors Service",,,,Private,,2016-01-01,year,For Profit,https://www.miotech.com/,https://www.linkedin.com/company/miotech/,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",3,"Harry Yip, Jianyu Tu, Tao Liu",51-100,,Venture - Series Unknown,,,,Venture - Series Unknown,8,12,,,"10,944","10,930"
Flexciton,https://www.crunchbase.com/organization/flexciton,"Flexciton is an optimisation technology company that has developed a genuinely unique solution to radically improve the efficiency and productivity of fab manufacturing processes using cutting-edge AI technology. Flexciton enables more semiconductor wafers to be produced for the same cost, faster. Since being founded in May 2016, Flexciton has rapidly expanded to a team of 45, the majority of whom are engineers and researchers with deep tech expertise. Manufacturing is critical to the human race; everything around us is manufactured. Human innovation has been enabled by manufacturing innovation. Manufacturing has stagnated because innovation has reached the limit of what human intelligence alone is capable of. Further innovation demands Artificial Intelligence. The company's vision is to bring Flexciton optimization technology to every factory in the world to enable manufacturing to operate at a level never before possible.","Artificial Intelligence (AI), Industrial, Industrial Automation, Machine Learning, Manufacturing, Semiconductor, Software","London, England, United Kingdom",Flexciton is the intelligent advantage platform for streamlined chipmaking,28752720,USD,28752720,,,0,"1,877",33,26,28664063,USD,28664063,,Controlling,,15000000,GBP,20510016,5,2021-01-01,"Europe, Middle East, and Africa (EMEA)",$1M to $10M,"Innovate UK, Entrepreneur First, Join Capital, Romulus Capital, Isomer Capital",,,4,Private,N1 6AD,2016-01-01,year,For Profit,http://www.flexciton.com/,https://www.linkedin.com/company/flexciton/,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software",2,"Dennis Xenos, Jamie Potter",11-50,Early Stage Venture,Series A,15000000,GBP,20510016,Series A,2,10,,,"10,969","10,955"
Phrasee,https://www.crunchbase.com/organization/phrasee,"Phrasee is AI that specialises in language generation for marketing copy. Phrasee has developed a world-leading Natural Language Generation system, that can generate millions of human-sounding variants at the touch of a button. Phrasee’s tailored algorithms are created to target your customers, ensuring the copy Phrasee generates is on-point for your brand. The results? More opens, clicks, and conversions. Awesome. Having studied millions of words, phrases, and sentences, They’ve proven there is a science to human language. They designed Phrasee to use artificial intelligence to generate marketing language that outperforms humans. And it works – awesomely. Phrasee began as an idea in a pub in Camden Town, London, over a pale ale or three. Now it’s all over the internet. And is revolutionizing digital marketing, one sentence at a time.","Artificial Intelligence (AI), Content, Marketing, Natural Language Processing","London, England, United Kingdom","Phrasee is AI that specializes in language generation for email marketing, push, and Facebook copy.",5334267,USD,5334267,2022-03-16,day,,"10,730",69,31,5334267,USD,5334267,,,,,,,3,2022-03-16,"Europe, Middle East, and Africa (EMEA)",$1M to $10M,"AlbionVC, Next Fifteen Communications Group, Galvanise Capital, Capital D",,,,Private,SE1 7TY,2015-02-23,day,For Profit,https://phrasee.co/,https://www.linkedin.com/company/phrasee/,,,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Sales and Marketing, Science and Engineering, Software",3,"Neil Yager, Parry Malm, Victoria Peppiatt",11-50,M&A,Private Equity,,,,Private Equity,3,4,,Was Acquired,"10,971","10,957"
Centaur Labs,https://www.crunchbase.com/organization/centaur-labs,Centaur offers medical data labeling services.  We provide unmatched accuracy and scale by harnessing the collective intelligence of a global network of tens of thousands of medical students and professionals.,"Artificial Intelligence (AI), Data Collection and Labeling, Health Care, Medical","Boston, Massachusetts, United States",Centaur Labs is a medical AI platform that offers medical data labeling services.,15885849,USD,15885849,,,,570,28,,15885849,USD,15885849,"1,896",,,,,,5,2022-12-08,"Greater Boston Area, East Coast, New England",$1M to $10M,"Hack VC, Y Combinator, Accel, Matrix, Global Founders Capital",,,,Private,02118,2017-01-01,year,For Profit,https://centaurlabs.com,https://www.linkedin.com/company/centaur-labs,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",3,"Erik Duhaime, Tom Gellatly, Zach Rausnitz",11-50,Early Stage Venture,Non-equity Assistance,15735849,USD,15735849,Series A,5,13,,,"10,975","10,961"
Genie AI,https://www.crunchbase.com/organization/ginie-ai,"Genie AI has developed an artificial intelligence platform called SuperDrafter® that empowers lawyers to draft contracts using the entire knowledge of the firm. Its AI semantically understands legal contracts, enabling us to become the bridge towards smart contracts on the blockchain. The company also provides educational talks and practical training on smart contracts through the use of artificial intelligence.","Artificial Intelligence (AI), Information Technology, Knowledge Management, Legal, Machine Learning, Software","London, England, United Kingdom",Automatic legal contract drafting platform for anyone.,2200000,GBP,2742465,,,5,"129,019",15,,1200000,GBP,1492491,,,Beers; non-alcoholic drinks and beverages,200000,GBP,254980,3,2023-08-17,"Europe, Middle East, and Africa (EMEA)",$1M to $10M,"Innovate UK, UK Research and Innovation, Connect Ventures, David Edmond Neuberger, Jun Wang",,,0,Private,,2017-01-01,year,For Profit,https://genieai.co/,https://www.linkedin.com/company/genie-ai/?originalSubdomain=uk,,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Professional Services, Science and Engineering, Software",2,"Nitish Mutha, Rafie Faruq",1-10,Seed,Grant,1200000,GBP,1492491,Seed,3,5,,,"10,985","10,971"
Boomitra,https://www.crunchbase.com/organization/conserwater-technologies,"Boomitra is a leading carbon marketplace working with farmers and landowners worldwide to mitigate climate change through improved agricultural practices. The US-based start-up uses proprietary AI and satellite technology to monitor, report, and verify (MRV) soil organic carbon to a 30cm+ depth, without physical soil sampling, reducing measurement costs by 99%. The process is cost-efficient, time effective, and scalable across various landholding sizes – enabling Boomitra to work globally: 5M+ acres, 150,000+ farmers, 4 continents, millions of credits sold to date. Farmers and landowners earn the vast majority of proceeds from each carbon credit sold, allowing them to re-invest in their farms and local communities.","Agriculture, AgTech, Artificial Intelligence (AI), Farming, Machine Learning, Remote Sensing","San Mateo, California, United States",Boomitra is the leading international soil carbon marketplace powered by AI and remote sensing technology.,5329110,USD,5329110,,,1,"4,033",6,,4100000,USD,4100000,,,Scientific and technological services,1000000,GBP,1229110,3,2023-11-07,"San Francisco Bay Area, Silicon Valley, West Coast",$1M to $10M,"SVG Ventures, Chevron Technology Ventures, Ponderosa Ventures, Jerry Yang, Yara Growth Ventures",,,0,Private,94402,2016-09-01,month,For Profit,https://boomitra.com,https://www.linkedin.com/company/boomitra/,,,"Agriculture and Farming, Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",1,Aadith Moorthy,11-50,Seed,Grant,4000000,USD,4000000,Seed,3,8,,,"10,987","10,973"
Codegen,https://www.crunchbase.com/organization/codegen-57c7,,"Artificial Intelligence (AI), SaaS, Software Engineering","San Francisco, California, United States",Codegen is a SAAS and artificial intelligence company that offers AI-assisted code development services.,16165484,USD,16165484,,,,"3,438",2,,16165484,USD,16165484,,,,16165484,USD,16165484,1,2023-11-16,"San Francisco Bay Area, West Coast, Western US",,"Thrive Capital, Adam D’Angelo, Mike Krieger",,,,Private,94110,2023-01-01,year,For Profit,https://www.codegen.com/,https://www.linkedin.com/company/codegen-dot-com/,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",1,Jay Hack,1-10,Seed,Seed,16165484,USD,16165484,Seed,1,3,,,"10,991","10,977"
hearX Group,https://www.crunchbase.com/organization/hearx-group,"hearX is an award-winning start-up with the mission of providing affordable access to hearing healthcare using smart digital solutions. With a strong research and engineering background, we aim to democratize and decentralize hearing care, obliterating the traditional audiology model and market, which was never built to scale, instead providing hearing care to millions by leveraging our smart tech, big data and artificial intelligence expertise. The hearX Group four categories of solutions: Lead Generation and Remote Care solutions, Clinical solutions, Preventative Solutions as well as Direct to Consumer intervention solutions. We have had more than 1 000 000 tests and screenings done using our products across 39 countries. Our innovative solutions are as accurate, but faster, cheaper and easier to use than traditional methods. We pride ourselves in offering a fully managed service, providing an entirely new way to overcome traditional barriers to the detection and diagnosis of disabling hearing loss.","Artificial Intelligence (AI), Health Care, Health Diagnostics, Medical Device, Mobile Apps, Software, Web Apps","Pretoria, NA - South Africa, South Africa","Affordable access to hearing care using digital solutions that anyone can use, anywhere",19765000,USD,19765000,,,,"2,409",29,,19015000,USD,19015000,"14,641",,,8300000,USD,8300000,9,2021-02-02,"Europe, Middle East, and Africa (EMEA)",Less than $1M,"HAVAÍC, Futuregrowth Asset Management, Bose Ventures, Sphere Capital Holdings",,,,Private,0081,2015-01-01,year,For Profit,https://www.hearxgroup.com,https://www.linkedin.com/company/hearx-group/,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Health Care, Mobile, Science and Engineering, Software",3,"De Wet Swanepoel, Herman Myburgh, Nic Klopper",101-250,Early Stage Venture,Series A,8300000,USD,8300000,Series A,2,4,,,"10,993","10,979"
Fusemachines,https://www.crunchbase.com/organization/fusemachines,"Fusemachines runs AI schools in underserved communities and connects the AI talent with job opportunities. It offers a blend of onsite and online AI education programs and provides AI talent and strategic consulting to its clients to help them develop AI solutions. The company's AI solutions and services provider, running AI schools in underserved communities and connecting talent with jobs. The company was founded in 2013 and is headquartered in New York.","Artificial Intelligence (AI), Big Data, Machine Learning, Software","New York, New York, United States","Fusemachines is an enterprise AI services and solutions provider that brings AI education, products, and jobs to underserved communities.",8875000,USD,8875000,2024-01-25,day,0,"4,439",45,27,8875000,USD,8875000,,,Scientific and technological services,1000000,USD,1000000,4,2022-01-14,"Greater New York Area, East Coast, Northeastern US",$50M to $100M,"Rugged Ventures, Business Oxygen (BO2), Future Perfect Ventures, Tectonic Capital",,,0,Public,10018,2013-01-01,year,For Profit,http://fusemachines.com/,https://linkedin.com/fusemachines,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",1,Sameer Maskey,251-500,IPO,Private Equity,1000000,USD,1000000,Private Equity,1,4,1,Made Acquisitions,"11,008","10,993"
Postmath,https://www.crunchbase.com/organization/postmath,"Postmath is a leader in digital transformation, leveraging Software as a Service (SaaS) to enhance educational efficiency. The company specializes in developing advanced AI technologies for content generation and process automation, with a focus on standardizing mathematical and editorial formats.","Artificial Intelligence (AI), Data Collection and Labeling, EdTech, Education, Internet, Knowledge Management, Software, STEM Education, Training, Tutoring","Seoul, Seoul-t'ukpyolsi, South Korea",Postmath offers AI-driven SaaS solutions that automate content generation and streamline mathematical processes for digital transformation.,1530050729,KRW,1129137,,,,,3,,1530050729,KRW,1129137,,,,835584935,KRW,607921,7,2024-04-19,Asia-Pacific (APAC),$1M to $10M,"TIPS Program, The Invention Lab, ENSL Partners",,,,Private,,2021-04-01,month,For Profit,https://www.postmath.info/,,,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Education, Internet Services, Other, Science and Engineering, Software",,,11-50,Early Stage Venture,Series A,835584935,KRW,607921,Series A,3,3,,,"11,013","10,999"
Vue.ai,https://www.crunchbase.com/organization/vue-ai,"Vue.ai is an AI-powered experience management suite that combines the power of product, customer, and business intelligence using computer vision. By using image recognition and data science, they help retailers generate product, and customer intelligence, and combine these with market insights, to power growth. They help retailers move up the digital maturity curve with unified AI solutions that are flexible and scalable.","Artificial Intelligence (AI), Machine Learning, Retail","Redwood City, California, United States",Vue.ai is a visual AI platform that redesigns the future of retail commerce.,17000000,USD,17000000,,,,"12,921",,31,17000000,USD,17000000,,,,,,,3,2023-07-11,"San Francisco Bay Area, Silicon Valley, West Coast",$10M to $50M,"Alpha Wave Global, Array Ventures, Peak XV Partners, Global Brain Corporation, FedEx Innovation Lab",,,,Private,94065,2016-01-01,year,For Profit,https://vue.ai,https://www.linkedin.com/company/vue-ai,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Science and Engineering, Software",3,"Anand Chandrasekaran, Ashwini Asokan, Costa Colbert",251-500,,Venture - Series Unknown,,,,Venture - Series Unknown,2,5,,,"11,014","11,000"
Chargetrip,https://www.crunchbase.com/organization/chargetrip,"Chargetrip is the world's leading Smart EV Routing platform. We make EV-driving and -charging seamless, reduce operational costs, and unlock new business models.  Our customers are CPOs (e.g. EnBW, Recharge, EDP, Iberdrola), Fleet Operators (e.g. Total), OEMs (e.g. Porsche), Telematics providers (e.g. Autosense), and Mobility Service Providers (e.g. Elbil, ANWB). They use our Routing-API to power solutions for individual EV-drivers and EV-fleets; owned, leased, rented, shared, and autonomous. Our routing engine uses over 15 different (dynamic) variables to calculate the real-time range of any EV (currently 260+ EV models). Proprietary algorithms then compute the best route from A, to B (to C, to D) with the optimal charge stations in between; specific to that vehicle, to that journey, business logic, and fleet specs. Build-in predictive models optimize for total travel-time and travel-costs.  Chargetrip’s API is easy to integrate into existing charge-, navigation-, Fleet operating, and telematics applications. On average, over 175.000 EV drivers use our software every month; equal to 10% of all EV’s in Europe.","Electric Vehicle, Navigation, Predictive Analytics, SaaS, Software","Amsterdam, Noord-Holland, The Netherlands",Chargetrip offers Smart EV Routing as an API SaaS platform.,10000000,EUR,10773192,,,,"35,550",24,,10000000,EUR,10773192,,,,,,,5,2023-07-27,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,"Elemental Excelerator, Blue Bear Capital, APX, TotalEnergies, TotalEnergies Ventures",,,,Private,1011VL,2017-02-01,day,For Profit,http://www.chargetrip.com,https://www.linkedin.com/company/chargetrip/,,,"Artificial Intelligence (AI), Data and Analytics, Navigation and Mapping, Software, Transportation",4,"Andreas Sansano, Gideon van Dijk, Mark Hulsbergen, Pieter Waller",11-50,Early Stage Venture,Series A,,,,Series A,3,10,,,"11,017","11,003"
Brilliant Labs,https://www.crunchbase.com/organization/brilliant-labs-15c9,"Brilliant Labs is a web for technology-based data transformation that offers services for digital and physical use. Brilliant Labs is building an ecosystem to catalyze the development of the emerging web. Their customers' inquiries are addressed through phone, email, and online applications. It was founded in 2019 and is located in Hong Kong, Hong Kong Island.","Artificial Intelligence (AI), Augmented Reality, Electronics, Generative AI, Information Technology","Hong Kong, Hong Kong Island, Hong Kong",Brilliant Labs is a web for technology-based data transformation that offers services for digital and physical use.,6050000,USD,6050000,,,1,"105,914",5,,6050000,USD,6050000,,,Scientific and electric apparatus and instruments,,,,4,2024-02-08,Asia-Pacific (APAC),$1M to $10M,"1337 Ventures, Plug and Play, John Hanke, Brendan Iribe, Coho Deeptech",,,0,Private,,2019-01-01,year,For Profit,https://brilliant.xyz,https://www.linkedin.com/company/brilliantlabsltd,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",,,11-50,,Undisclosed,,,,Undisclosed,5,8,,,"11,024","11,010"
Mediktor,https://www.crunchbase.com/organization/teckel-medical,"Mediktor is the most advanced and accurate expert system for pre-diagnoses, triage and decision-making support. The first artificial intelligent system clinically validated that is transforming healthcare for everyone. A technology that finally  makes it possible to reduce access barriers to healthcare: -	Patients can make better decisions from the first symptoms -	And the healthcare system can organize its demand and optimize resources to offer a better medical coverage.","Artificial Intelligence (AI), Health Care, Machine Learning, Medical, Software","Barcelona, Catalonia, Spain",The most advanced and accurate sypmtom checker,15780355,USD,15780355,,,2,"2,047",56,6,15780355,USD,15780355,202,,Scientific and electric apparatus and instruments,11000000,EUR,12780355,3,2021-10-04,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,"StartUp Health, MTIP AG, Alta Life Sciences, Castel Capital, Naos",,,0,Private,08028,2011-09-23,day,For Profit,https://www.mediktor.com/,https://www.linkedin.com/company/teckel-medical,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",2,"Cristian Pascual, Oscar García-Esquirol",51-100,,Venture - Series Unknown,11000000,EUR,12780355,Venture - Series Unknown,2,5,1,Made Acquisitions,"11,039","11,025"
Saturn Cloud,https://www.crunchbase.com/organization/saturn-cloud,"Saturn Cloud enables your team to build AI and ML models in the cloud, using whatever technology they need, including high-memory computing, GPU processors, and Dask clusters. Saturn Cloud supports Python, R, and nearly any other programming language. Visit www.saturncloud.io to see why companies like NVIDIA, Nestle, Custom Ink, Mercury Insurance and more choose Saturn Cloud to build AI.","Artificial Intelligence (AI), Cloud Data Services, Cloud Infrastructure, Generative AI, Machine Learning, SaaS, Software","New York, New York, United States","Saturn Cloud is a platform for AI & ML development, deployment, and data pipelines in the cloud.",9500000,USD,9500000,,,,"1,374,125",35,13,9500000,USD,9500000,,,,3000000,USD,3000000,3,2021-08-17,"Greater New York Area, East Coast, Northeastern US",$1M to $10M,"NVIDIA, SignalFire, Outsiders Fund",,,,Private,10038,2019-08-27,day,For Profit,https://www.saturncloud.io,https://www.linkedin.com/company/saturn-cloud,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software",2,"Hugo Shi, M. Sebastian Metti",11-50,Early Stage Venture,Series A,3000000,USD,3000000,Series A,2,3,,,"11,064","11,050"
Pensa Systems,https://www.crunchbase.com/organization/pensa-systems,"Pensa is a leading innovator in changing the way brands and retailers manage retail shelf inventory. Pensa’s data-as-a-service portfolio and use of advanced computer vision and artificial intelligence enable CPG brands and retailers to reduce stockouts and boost revenues by delivering highly accurate real-time visibility of the store shelf at a fraction of the cost of other solutions. Pensa partners with top CPG brands and retailers globally, including Johnson & Johnson, General Mills, Anheuser-Busch InBev, Circle K, and Unilever to address a trillion-dollar “blind spot” at a critical time in the industry.","Artificial Intelligence (AI), Computer, Information Technology, Machine Learning, Retail, Retail Technology, Robotics, Software","Austin, Texas, United States",The Source of Truth for the Retail Shelf,28200000,USD,28200000,,,0,570,20,,28200000,USD,28200000,,,,11000000,USD,11000000,4,2021-06-08,Southern US,$10M to $50M,"Capital Factory, ATX Venture Partners, ZX Ventures, Signia Venture Partners, RevTech Ventures",$50M to $100M,2019-11-19,2,Private,78702,2016-01-01,year,For Profit,http://www.pensasystems.com/,https://www.linkedin.com/company/pensa-systems/,,,"Artificial Intelligence (AI), Commerce and Shopping, Consumer Electronics, Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",6,"Jason Reneau, Jim Dutton, Joel Iventosch, Pinar Kaprali, Richard Schwartz, Sean D. Matthews",11-50,Early Stage Venture,Series A,11000000,USD,11000000,Series A,2,11,,,"11,068","11,053"
Stella Automotive AI,https://www.crunchbase.com/organization/stella-automotive-ai,"Stella Automotive AI is an artificial intelligence technology that enables solutions for the automobile industry to talk to customers. It uses cognitive conversational artificial intelligence to answer phones, talk to customers, and strengthen core BDC functions like setting appointments.","Artificial Intelligence (AI), Automotive, Customer Service","Tampa, Florida, United States",Stella Automotive AI is an artificial intelligence technology that enables solutions for the automobile industry to talk to customers.,23700000,USD,23700000,,,,"16,815",6,,23700000,USD,23700000,,,,19700000,USD,19700000,2,2024-05-01,"Tampa Bay Area, East Coast, Southern US",$1M to $10M,"Ford Family Investments, Reynolds and Reynolds, Flow Automotive Companies, MBB Auto Group, The Presidio Group",,,,Private,33607,2016-01-01,year,For Profit,https://www.stellaautomotive.com,https://www.linkedin.com/company/stella-automotive-ai/ ,,,"Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software, Transportation",1,Josselyn Boudett,11-50,Early Stage Venture,Series A,19700000,USD,19700000,Series A,,14,,,"11,070","11,056"
1910 Genetics,https://www.crunchbase.com/organization/1910-genetics,"1910 Genetics is a biotechnology company integrating AI, computation, and biological automation to improve drug development. The company establishes an understanding of the molecular basis of disease to the granularity at which the world understands sickle cell anemia. This understanding drives their integration of artificial intelligence (AI), computation, and biological automation to accelerate the design of small molecule and protein therapeutics.","Artificial Intelligence (AI), Biotechnology, Therapeutics","Boston, Massachusetts, United States","1910 Genetics is a biotechnology company integrating AI, computation, and biological automation to improve drug development.",26650000,USD,26650000,,,,570,28,,26100000,USD,26100000,,,,550000,USD,550000,4,2021-09-30,"Greater Boston Area, East Coast, New England",$1M to $10M,"Playground Global, Y Combinator, M12 - Microsoft's Venture Fund, FoundersX Ventures, Sam Altman",,,,Private,,2018-05-01,month,For Profit,http://www.1910genetics.com,https://www.linkedin.com/company/1910genetics,,,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",1,Jen Nwankwo,11-50,Early Stage Venture,Grant,22000000,USD,22000000,Series A,3,10,,,"11,074","11,060"
Frame,https://www.crunchbase.com/organization/dockee-technologies,"Frame is an AI-powered suite of minimalist collaboration apps built to empower cross-teams and cross-department work in a beautiful minimalist digital environment. Our suite contains any apps sitting across departments, like notes, tasks, whiteboard, and processes, and is simple, unified, interoperable, and team-ready. Follow us here: https://bento.me/joinframe","Artificial Intelligence (AI), B2B, Machine Learning, Productivity Tools, SaaS, Software","San Francisco, California, United States",The Intelligent Workspace for Teams,1542000,USD,1542000,,,,"5,954",5,,1542000,USD,1542000,,,,1542000,USD,1542000,1,2022-09-02,"San Francisco Bay Area, West Coast, Western US",,"Episode 1, Inovo VC, Kleiner Perkins, SaxeCap, Marcel Doeppes",,,,Private,94103,2022-01-27,day,For Profit,https://www.frame.so/,https://www.linkedin.com/company/joinframe,,,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",1,Nicolas Baranowski,11-50,Seed,Pre-Seed,1542000,USD,1542000,Pre-Seed,1,6,,,"11,087","11,073"
Lyzr AI,https://www.crunchbase.com/organization/lyzr-ai,"Lyzr is an Enterprise Generative AI Platform offering private and secure Agent SDKs that are fully integrated, capable of replicating the entire workflow of popular GenAI SaaS products. Enterprises can now build and launch secure Generative AI applications in their own cloud or on-premise environment in minutes to hours. Lyzr AIMS platform (AI Management System) allows enterprises launch SDKs with secret keys, track SDK analytics, manage LLM operations, design and productionize prompts. All within their cloud environment.","Apps, Artificial Intelligence (AI), Enterprise Applications, Enterprise Software, Generative AI, Information Technology, Language Learning, Machine Learning, Open Source, SaaS","Jersey City, New Jersey, United States",Private and Secure AI Agents for Enterprise,200000,USD,200000,,,,"6,109",17,,200000,USD,200000,,,,200000,USD,200000,1,2023-09-01,"Greater New York Area, East Coast, Northeastern US",,Y Combinator,,,,Private,07310,2023-07-01,day,For Profit,https://www.lyzr.ai,https://www.linkedin.com/company/lyzr-platform/,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Education, Information Technology, Science and Engineering, Software",1,Siva S,11-50,Seed,Angel,200000,USD,200000,Angel,1,1,,,"11,108","11,093"
Zordi,https://www.crunchbase.com/organization/zordi,"Zordi is a robot- and artificial intelligence-operated autonomous modular greenhouse platform. frequently addressed from three angles: operation, agriculture, and technology. This cooperation results in more reliable and effective consumer solutions.","Artificial Intelligence (AI), Farming, Robotics","Boston, Massachusetts, United States",Zordi is an autonomous modular greenhouse platform operated by artificial intelligence and robots.,20000000,USD,20000000,,,0,,4,,20000000,USD,20000000,,Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing,,20000000,USD,20000000,2,2023-10-17,"Greater Boston Area, East Coast, New England",$1M to $10M,"Alumni Ventures, Khosla Ventures",,,7,Private,02109,2020-01-01,year,For Profit,https://www.zordi.com,https://www.linkedin.com/company/zordi,,,"Agriculture and Farming, Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",2,"Casey Call, Gilwoo Lee",11-50,,Venture - Series Unknown,20000000,USD,20000000,Venture - Series Unknown,1,2,,,"11,122","11,108"
