Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company)
Arago,https://www.crunchbase.com/organization/arago-ag,"Artificial Intelligence (AI), Data Center Automation, Enterprise Software, Information Technology, Machine Learning","Frankfurt, Hessen, Germany",Arago is a leading artificial intelligence company that helps businesses automate their IT processes through intelligent automation.,"34,360"
Infer,https://www.crunchbase.com/organization/infer,"Analytics, CRM, Enterprise Software, Marketing, Predictive Analytics, SaaS, Software","Mountain View, California, United States",Infer provides a predictive SaaS platform that helps businesses win more customers,"34,661"
Ablacon,https://www.crunchbase.com/organization/ablacon,"Artificial Intelligence (AI), Machine Learning, Therapeutics","Wheat Ridge, Colorado, United States",Ablacon is a provider of AI-guided atrial fibrillation therapies.,"35,233"
IVADO Labs,https://www.crunchbase.com/organization/ivado-labs,Artificial Intelligence (AI),"Montréal, Quebec, Canada",IVADO Labs is an AI-powered start-up.,"35,326"
Weaviate,https://www.crunchbase.com/organization/weaviate,"Artificial Intelligence (AI), Cloud Computing, Database, Enterprise Software, Open Source, Search Engine","Amsterdam, Noord-Holland, The Netherlands",Weaviate develops a hybrid SaaS platform to build search and recommendation systems.,"35,599"
Fiddler AI,https://www.crunchbase.com/organization/fiddler-labs,"Analytics, Artificial Intelligence (AI), Big Data, Enterprise, Machine Learning, Software","Palo Alto, California, United States","Fiddler provides enterprise model performance management software that allows monitoring, explaining, analyzing, and improving ML models.","35,663"
Photoroom,https://www.crunchbase.com/organization/photoroom,"Artificial Intelligence (AI), Machine Learning, Mobile Apps, Photo Editing, Photography","Paris, Ile-de-France, France",Photoroom is an AI-enabled image capturing app that lets users create studio-quality product pictures in seconds.,"35,701"
Boston Dynamics,https://www.crunchbase.com/organization/boston-dynamics,"Artificial Intelligence (AI), Hardware, Industrial Engineering, Robotics, Software","Waltham, Massachusetts, United States",Boston Dynamics is an engineering company that specializes in building dynamic robots and software for human simulation.,"35,752"
Saagie,https://www.crunchbase.com/organization/saagie,"Analytics, Artificial Intelligence (AI), Big Data, Enterprise Applications, Information Technology, PaaS, Software","Le Petit-quevilly, Haute-Normandie, France",Saagie provides a ready to go DataOps Orchestrator.,"35,835"
GoKwik,https://www.crunchbase.com/organization/gokwik,"Artificial Intelligence (AI), E-Commerce Platforms, Machine Learning, Shopping","Haryana, Haryana, India",GoKwik is an online platform that helps people solve difficulties with their buying experiences on e-commerce websites.,"36,093"
Signzy,https://www.crunchbase.com/organization/signzy,"Artificial Intelligence (AI), Compliance, Financial Services, FinTech, InsurTech, Risk Management","Bengaluru, Karnataka, India","Signzy is an AI-powered FinTech company offering a digital onboarding solution for banks, NBFCs, and other financial institutions.","36,177"
CIMCON Lighting,https://www.crunchbase.com/organization/cimcon-lighting,"Consumer Electronics, Industrial Automation, Intelligent Systems, Internet of Things, Public Safety, SaaS, Smart Cities, Software","Burlington, Massachusetts, United States",CIMCON Lighting provides software-powered lighting controllers and IoT-enabled city lighting management solutions.,"36,465"
Medial EarlySign,https://www.crunchbase.com/organization/medial-earlysign,"Artificial Intelligence (AI), Big Data, Electronic Health Record (EHR), Health Care, Health Diagnostics, Machine Learning, Predictive Analytics","Hod Hasharon, HaMerkaz, Israel","Medial EarlySign helps healthcare clients with their early detection and prevention of high-burden diseases using routine, existing EHR data","37,342"
Replicate,https://www.crunchbase.com/organization/replicate,"Artificial Intelligence (AI), Cloud Infrastructure, Information Technology, Machine Learning","San Francisco, California, United States",Replicate lets software developers run open-source AI with an API.,"37,351"
Bmll Technologies,https://www.crunchbase.com/organization/bmll-technologies-1cec,"Analytics, Big Data, Cloud Computing, Machine Learning, Software","London, England, United Kingdom",BMLL Technologies is the top independent source for Level 3 Historical Data and Analytics catering to participants in the Capital Markets.,"37,407"
Qylur Intelligent Systems,https://www.crunchbase.com/organization/qylur-intelligent-systems,"Artificial Intelligence (AI), Intelligent Systems, Machine Learning, Security, Software","Sunnyvale, California, United States",Qylur is an intelligent systems company using its IIoT and AI platforms to transform entry security and guest experience for public venues.,"37,469"
Finclusion Group,https://www.crunchbase.com/organization/finclusion-group,"Artificial Intelligence (AI), Consumer Lending, Credit, FinTech, InsurTech","Ebène, Plaines Wilhems, Mauritius",Finclusion is a FinTech acceleration company that provides financial services and credit products using AI-powered and data-driven lending.,"37,532"
onepredict,https://www.crunchbase.com/organization/onepredict,"Artificial Intelligence (AI), Enterprise Software, Industrial, Machine Learning, Predictive Analytics, Software","Seoul, Seoul-t'ukpyolsi, South Korea","Big Data, Data Science, Machine Learning, Cloud Computing, Enterprise Software Solutions","37,785"
Intelligent Learning,https://www.crunchbase.com/organization/intelligent-learning,"Artificial Intelligence (AI), Education, Robotics","Hangzhou, Zhejiang, China",Intelligent Learning is an artificial intelligence and robotics company.,"38,465"
Kumo.AI,https://www.crunchbase.com/organization/kumo-ai,"Artificial Intelligence (AI), Big Data, Business Intelligence, Machine Learning, SaaS","Mountain View, California, United States",Kumo.AI is a SaaS AI platform that allows anyone in an organization to tackle predictive problems in business.,"38,619"
Tenet,https://www.crunchbase.com/organization/peak-positioning-technologies,"Analytics, Artificial Intelligence (AI), Developer Platform, Enterprise Software, Finance, Financial Services, FinTech, Information Technology, Mobile, Professional Networking","Toronto, Ontario, Canada",Tenet is the parent company of a group of six innovative financial technology subsidiaries operating in China’s.,"38,639"
Deci AI,https://www.crunchbase.com/organization/deci-ai,"Artificial Intelligence (AI), Cloud Computing, Computer Vision, Developer Platform, Image Recognition, Information Technology, Machine Learning, Natural Language Processing, Software, Video","Ramat Gan, Tel Aviv, Israel","The deep learning acceleration platform for developers to build, optimize, and deploy ultra-fast models on any hardware.","39,141"
inspir.ai,https://www.crunchbase.com/organization/inspir-ai,"Artificial Intelligence (AI), Cloud Computing, Internet","Haidian, Beijing, China",Inspir.ai creates cross-industry artificial intelligence platforms for use in decision-making and gaming.,"40,653"
CVA Chip,https://www.crunchbase.com/organization/cva-chip,"Enterprise Software, Intelligent Systems, Internet of Things, Semiconductor, Sensor, Software","Shenzhen, Guangdong, China",CVA Chip is a chip design company focusing on the field of intelligent perception and computing control.,"40,843"
TI Health,https://www.crunchbase.com/organization/ti-health,"Advertising, Advertising Platforms, Data Management, Data Visualization, Health Care, Machine Learning, Marketing Automation, Predictive Analytics","New York, New York, United States",TI Health is data marketing and predictive analytics company founded by Erin DeRuggiero.,"41,021"
Inuchip,https://www.crunchbase.com/organization/inuchip,"3D Technology, Artificial Intelligence (AI), Product Design, Semiconductor, Sensor, Software","Beijing, Beijing, China","Yinniu Microelectronics provides 3D binocular stereo vision, multi-sensor fusion visual processing,AI chips and product design.","41,118"
Qdrant,https://www.crunchbase.com/organization/qdrant,"Artificial Intelligence (AI), Big Data, Cloud Data Services, Open Source, Search Engine, Software","Berlin, Berlin, Germany",Qdrant is an open-source vector search engine and database for next-generation AI applications.,"41,208"
LungLife AI,https://www.crunchbase.com/organization/cynvenio-biosystems,"Artificial Intelligence (AI), Biotechnology, Health Diagnostics, Machine Learning, Medical","Thousand Oaks, California, United States",LungLife AI is a molecular diagnostics company that involves in the early detection and treatment of cancer.,"41,294"
door2door,https://www.crunchbase.com/organization/door2door,"Artificial Intelligence (AI), GovTech, Public Transportation, SaaS, Software","Berlin, Berlin, Germany",#GovTech #SaaS #AI #Infrastructure for The Next Public Transport,"41,308"
Artivila Therapeutics,https://www.crunchbase.com/organization/artivila-therapeutics,"Artificial Intelligence (AI), Biotechnology, Health Care, Therapeutics","Shenzhen, Guangdong, China",Artivila Therapeutics is a pharmaceutical company focused on improving patient's lives through an AI-powered drug discovery engine.,"41,320"
Supplier.ai,https://www.crunchbase.com/organization/supplier-ai,"Artificial Intelligence (AI), Cloud Data Services, Facilities Support Services, Information Technology, Machine Learning, Procurement, Property Management, Supply Chain Management","Washington, District of Columbia, United States",Supplier.ai is an artificial intelligence company. Its technology increases efficacy in the procurement of services and supplies.,"41,370"
WATRIX.AI,https://www.crunchbase.com/organization/watrix-ai,"Analytics, Artificial Intelligence (AI), Robotics","Beijing, Beijing, China",WATRIX.AI is an artificial intelligence company focusing on computer vision and video big data analysis.,"41,388"
Zhuiyi Technology,https://www.crunchbase.com/organization/zhuiyi-technology,"Artificial Intelligence (AI), Machine Learning, Software","Shenzhen, Guangdong, China",Zhuiyi Technology is an artificial intelligence start-up that develops AI platform.,"41,454"
Medasense,https://www.crunchbase.com/organization/medasense-biometrics-ltd--2,"Artificial Intelligence (AI), Biometrics, Health Care, Medical, Medical Device, Sensor","Ramat Gan, Tel Aviv, Israel",Medasense offers a breakthrough technology that enables clinicians to optimize and personalize pain control and avoid overmedication.,"41,518"
Bolster AI,https://www.crunchbase.com/organization/bolster-inc,"Artificial Intelligence (AI), Cyber Security, Machine Learning","Santa Clara, California, United States","Bolster AI protects against phishing and scams across multiple channels, such as the web, social media, app stores, and even the dark web.","41,779"
V7,https://www.crunchbase.com/organization/v7,"Artificial Intelligence (AI), Data Collection and Labeling, Image Recognition, Machine Learning, Software","London, England, United Kingdom",V7 is a powerful AI training data platform used to produce high-quality image and video data annotations to train computer vision models.,"41,794"
Hume AI,https://www.crunchbase.com/organization/hume-ai,"Artificial Intelligence (AI), Information Technology, Machine Learning, Software","New York, New York, United States","The AI toolkit to measure, understand, and improve how technology affects human emotion.","42,209"
Gleechi,https://www.crunchbase.com/organization/gleechi,"3D Technology, Artificial Intelligence (AI), Augmented Reality, Industrial Automation, Machine Learning, PC Games, Robotics, Software, Video Games, Virtual Reality","Stockholm, Stockholms Lan, Sweden",Gleechi develops software to enable hand movement and interaction for artificial hands.,"42,292"
InsideBoard,https://www.crunchbase.com/organization/insideboard,"Artificial Intelligence (AI), InsurTech, SaaS, Software","Neuilly-sur-seine, Ile-de-France, France",InsideBoard is an AI platform that uses artificial intelligence for change management services.,"42,399"
Waterline Data,https://www.crunchbase.com/organization/waterline-data-science,"Analytics, Artificial Intelligence (AI), Big Data, Cloud Management, Consulting, Data Integration, Enterprise Software, Internet of Things, Machine Learning, Software","Mountain View, California, United States",Waterline's machine learning and AI-driven Data Catalog connects the right people to the right data.,"42,620"
Fathom,https://www.crunchbase.com/organization/fathom-4,"Artificial Intelligence (AI), Billing, Machine Learning, Medical, Software","San Francisco, California, United States",Fathom develops medical coding automation platform powered by artificial intelligence.,"42,624"
RealAI,https://www.crunchbase.com/organization/realai,"Artificial Intelligence (AI), FinTech, Machine Learning, Robotics","Beijing, Beijing, China","RealAI is an AI tech firm providing services like financial smart risk control & management, and a face recognition system.","42,663"
Densify,https://www.crunchbase.com/organization/cirba-inc,"Cloud Infrastructure, Computer, DevOps, Infrastructure, Predictive Analytics, Software","Markham, Ontario, Canada",Cost optimization and control for cloud and container infrastructure,"42,731"
Level AI,https://www.crunchbase.com/organization/level-ai,"Analytics, Artificial Intelligence (AI), Information Technology","Mountain View, California, United States",Level AI is a platform for businesses to automate tedious workflows and transform customer experience.,"42,988"
i-KINGTEC,https://www.crunchbase.com/organization/i-kingtec,"AgTech, Artificial Intelligence (AI), Robotics","Haidian, Beijing, China",i-KINGTEC is a developer of intelligent industrial drone and UAV systems.,"43,202"
Navina,https://www.crunchbase.com/organization/navina,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Medical, Software","Tel Aviv-yafo, Tel Aviv, Israel",Navina develops an AI-driven platform that restructures patient data into intuitive patient portraits for better diagnoses and care.,"43,500"
Nines,https://www.crunchbase.com/organization/nines-855d,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Life Science, Machine Learning","Palo Alto, California, United States",Nines is the first-of-its-kind radiology practice. Radiologists + Data Scientists + Engineers. Trusted partner.,"43,532"
x.ai,https://www.crunchbase.com/organization/x-ai,"Artificial Intelligence (AI), Internet, Scheduling, Software, Virtual Assistant","Burlingame, California, United States",x.ai is a tool that helps you and your team share ideal availability and schedule meetings.,"43,780"
Intelligence Indeed,https://www.crunchbase.com/organization/intelligence-indeed,"Artificial Intelligence (AI), Business Development, Industrial Automation","Hangzhou, Zhejiang, China",Intelligence Indeed is an artificial intelligence enterprise for decision-making field of large-scale and complex problems.,"43,942"
XICA,https://www.crunchbase.com/organization/xica-db2c,"Advertising, Analytics, Brand Marketing, Consulting, Predictive Analytics, Software, Test and Measurement","Roppongi, Tokyo, Japan","XICA provides data science services applied to marketing; Delivering insights, optimization, and results to the most complex brands.","44,156"
Plan A,https://www.crunchbase.com/organization/plana-earth,"Analytics, Business Intelligence, GreenTech, Machine Learning, Sustainability","Berlin, Berlin, Germany","Plan A is a GreenTech company that develops a carbon quantification platform to measure, monitor, and reduce environmental footprint.","44,254"
Advertima AG,https://www.crunchbase.com/organization/advertima,"Artificial Intelligence (AI), Computer Vision, Human Computer Interaction, Retail Technology, Software","Saint Gallen, Sankt Gallen, Switzerland",Advertima's computer vision technology interprets human behavior in the physical world to offer smart retail solutions.,"44,390"
Ensonic,https://www.crunchbase.com/organization/ensonic,"Artificial Intelligence (AI), Information Technology, Software","Haidian, Beijing, China",Ensonic is an explorer of acoustic detection AI technology in the industrial application field.,"44,436"
Hyro,https://www.crunchbase.com/organization/airbud-technologies-inc,"Artificial Intelligence (AI), B2B, Natural Language Processing, SaaS, Virtual Assistant","New York, New York, United States",Hyro is a plug-and-play conversational AI platform that enables enterprises to add voice and text capabilities to their digital channels.,"44,519"
SafeAI,https://www.crunchbase.com/organization/safeai,"Artificial Intelligence (AI), Construction, Mining","Santa Clara, California, United States",SafeAI develops autonomous driving technology for heavy-equipment vehicles used in the construction and mining industries.,"44,646"
Eigen Technologies,https://www.crunchbase.com/organization/eigen-technologies,"Artificial Intelligence (AI), Document Management, Financial Services, InsurTech, Machine Learning","New York, New York, United States","Eigen Technologies is a research-driven AI company specializing in NLP for businesses in finance, law, and professional services.","44,728"
Coactive AI,https://www.crunchbase.com/organization/coactive-ai,"Artificial Intelligence (AI), Big Data, Information Technology, Machine Learning","San Jose, California, United States",Coactive AI is a machine learning platform that unlocks analytics and insights from unstructured image and video data.,"44,776"
Bestmile,https://www.crunchbase.com/organization/bestmile,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Cloud Computing, Fleet Management, Machine Learning, Mobile, SaaS, Transportation","San Francisco, California, United States","Bestmile is a fleet orchestration platform for mobility providers to deploy, manage and optimize AV and human-driven vehicle fleets.","45,733"
Zeni,https://www.crunchbase.com/organization/zeni,"Accounting, Artificial Intelligence (AI), Finance, Financial Services, FinTech","Palo Alto, California, United States",Zeni is an AI-powered finance concierge for startups and small businesses.,"45,981"
Findem,https://www.crunchbase.com/organization/findem,"Analytics, Artificial Intelligence (AI), Computer, Human Resources, Recruiting, SaaS, Software","Redwood City, California, United States",Findem is a People Intelligence company that helps you search for talent like never before and make amazing hires.,"46,067"
Snowplow,https://www.crunchbase.com/organization/snowplow-analytics,"Analytics, Artificial Intelligence (AI), Business Intelligence, Data Integration, Software","London, England, United Kingdom","Snowplow Analytics is enterprise grade, open-source platform that allows the collection of event-level data in real time.","46,684"
infobird,https://www.crunchbase.com/organization/infobird,"Call Center, Cloud Computing, Customer Service, Machine Learning, SaaS","Beijing, Beijing, China",infobird is an AI SaaS software service company that provides intelligent cloud customer service system solutions.,"46,800"
WeaveGrid,https://www.crunchbase.com/organization/weave-grid,"Automotive, Electric Vehicle, Machine Learning, Renewable Energy, Software, Transportation","San Francisco, California, United States",WeaveGrid develops electrification software for the scalable deployment of electric vehicles on the electric grid.,"46,984"
Ambi Robotics,https://www.crunchbase.com/organization/ambidextrous,"Artificial Intelligence (AI), Information Technology, Robotics","Berkeley, California, United States",Ambi Robotics is an AI and robotics company developing solutions that scale e-commerce operations while empowering humans to work smarter.,"47,083"
Workera,https://www.crunchbase.com/organization/workera,"Artificial Intelligence (AI), E-Learning, EdTech, Machine Learning","Palo Alto, California, United States","Workera is an enterprise skill assessment and upskilling platform for data science, machine learning, and artificial intelligence.","47,175"
EnCharge AI,https://www.crunchbase.com/organization/encharge-ai,"Artificial Intelligence (AI), Embedded Software, Machine Learning, Semiconductor, Software","Santa Clara, California, United States","EnCharge AI delivers a battle-tested computing platform to unlock the best AI computing, from the edge to the cloud.","47,320"
Axelera AI,https://www.crunchbase.com/organization/axelera-ai,"Artificial Intelligence (AI), Machine Learning, Semiconductor, Software","Eindhoven, Noord-Brabant, The Netherlands",Axelera AI is an artificial intelligence chip manufacturer that creates AI hardware and software platforms for edge computing.,"47,397"
Xiaoduo,https://www.crunchbase.com/organization/xiaoduo,"Artificial Intelligence (AI), Customer Service, Robotics","Chengdu, Sichuan, China",Xiaoduo is an intelligent customer service robot developer.,"47,494"
12 Sigma Technologies,https://www.crunchbase.com/organization/12-sigma-technologies,"Artificial Intelligence (AI), Computer, Health Care, Medical Device, Software","Beijing, Beijing, China",12 Sigma Technologies is a software company focused on bringing artificial intelligence solutions to medical diagnosis.,"47,580"
Vital,https://www.crunchbase.com/organization/vital-6fc2,"Artificial Intelligence (AI), Health Care, Productivity Tools","Atlanta, Georgia, United States",AI-Powered digital experiences for the most vital points in care.,"47,769"
JLQ Technology,https://www.crunchbase.com/organization/jlq-technology,"Artificial Intelligence (AI), Product Design, Semiconductor","Shanghai, Shanghai, China",JLQ Technology provides mobile terminal chip and IoT IC design technologies.,"47,865"
Golden,https://www.crunchbase.com/organization/golden-2cb6,"Artificial Intelligence (AI), Blockchain, Machine Learning, Natural Language Processing, Software","San Francisco, California, United States",Golden is a developer of a self-constructing knowledge database used to accelerate discovery and education.,"47,878"
Yida Technology,https://www.crunchbase.com/organization/1data,"Developer Platform, Enterprise Software, Robotic Process Automation (RPA)","Shanghai, Shanghai, China",Yida Technology is a digital robot company that creates industrialized digital robots and other products.,"47,948"
Turbine,https://www.crunchbase.com/organization/turbine-2,"Artificial Intelligence (AI), Biopharma, Biotechnology","Budapest, Budapest, Hungary",Turbine's platform understands the inner mechanisms of cancer enabling the discovery of novel targets & precision medicinal therapies.,"48,151"
Butlr,https://www.crunchbase.com/organization/butlr-0e8d,"Analytics, Artificial Intelligence (AI), Assisted Living, Health Care, Internet of Things, Retail Technology, Smart Building, Software, Sustainability","Burlingame, California, United States",Anonymous AI Data Insight into Human Movement and Well-being,"48,186"
Bioyond Tech,https://www.crunchbase.com/organization/bioyond-tech,"Artificial Intelligence (AI), Medical Device, Robotics","Pudong, Shandong, China",Bioyond Tech utilizes robotics and artificial intelligence technology to provide modular products and automation solutions.,"48,272"
deepset,https://www.crunchbase.com/organization/deepset,"Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, Open Source, Search Engine, Semantic Search","Berlin, Berlin, Germany",deepset is the company behind Haystack open-source LLM framework and deepset Cloud — an LLM platform for enterprise AI teams.,"48,304"
Midokura,https://www.crunchbase.com/organization/midokura,"Artificial Intelligence (AI), Cloud Computing, Cloud Management, Network Security, Open Source, SaaS, Software, Virtualization","Tokyo, Tokyo, Japan",MIDOKURA is a Sony Group company that delivers innovative solutions to power the Edge AI revolution in IoT.,"48,507"
Frontier Field,https://www.crunchbase.com/organization/frontier-field,"Artificial Intelligence (AI), Big Data, Health Care, Medical","Tokyo, Tokyo, Japan",Frontier Field uses AI and big data in the medical and healthcare fields to create mechanisms and services.,"48,524"
D-ID,https://www.crunchbase.com/organization/d-id,"Artificial Intelligence (AI), Computer Vision, Facial Recognition, Software","Tel Aviv, Tel Aviv, Israel",D-ID is an information technology company that creates AI-based image generating software.,"48,755"
Trustlook,https://www.crunchbase.com/organization/trustlook,"Artificial Intelligence (AI), Internet of Things, Machine Learning, Mobile, Network Security, Security","San Jose, California, United States","Mobile, PC, and IoT security solutions based on artificial intelligence.","48,866"
Deep Vision,https://www.crunchbase.com/organization/deep-vision-2,"Artificial Intelligence (AI), Autonomous Vehicles, Big Data, Computer Vision, Machine Learning, Robotics","Los Altos, California, United States","Embedded deep learning computer vision solution for drones, robots, and IOT cameras","48,942"
Cropin,https://www.crunchbase.com/organization/cropin-technologies,"AgTech, Artificial Intelligence (AI), Cloud Data Services","Bengaluru, Karnataka, India",Cropin is an AI and data-led agri-tech​ organization that provides SaaS solutions to agribusinesses globally using deep learning.,"48,952"
ClimateAI,https://www.crunchbase.com/organization/climateai,"Artificial Intelligence (AI), Enterprise Software, Environmental Engineering","San Francisco, California, United States","ClimateAI is an enterprise climate platform to help companies reduce, monitor, and adapt to physical climate risks.","49,003"
Responsible AI UK,https://www.crunchbase.com/organization/responsible-ai-uk,"Artificial Intelligence (AI), Innovation Management","Southampton, Southampton, United Kingdom",Responsible AI UK is an international research and innovation ecosystem for responsible and trustworthy AI.,"49,157"
Tigerobo,https://www.crunchbase.com/organization/tigerobo,"Artificial Intelligence (AI), Machine Learning, Robotics","Shanghai, Shanghai, China",Tigerobo is an artificial intelligence technology driven technology company.,"49,282"
BeeHero,https://www.crunchbase.com/organization/beehero,"Agriculture, AgTech, Farming, Machine Learning, Predictive Analytics","Del Rey, California, United States",BeeHero is a developer of a beehive technology platform intended to maximize crop yields through pollination.,"49,321"
Federato,https://www.crunchbase.com/organization/federato,"Artificial Intelligence (AI), FinTech, Insurance, InsurTech, Software","Palo Alto, California, United States",Federato develops a RiskOps platform that uses AI and machine learning to process massive amounts of data for insurance companies.,"49,428"
Yuanzhi Technology Group,https://www.crunchbase.com/organization/yuanzhi-technology-group,"Artificial Intelligence (AI), Big Data, Cloud Computing","Haidian, Beijing, China",Yuanzhi Technology Group is a technology firm.,"49,731"
9fin,https://www.crunchbase.com/organization/9fin,"Analytics, Artificial Intelligence (AI), Financial Services, FinTech, Machine Learning","London, England, United Kingdom","The leading data, news and predictive analytics platform for debt capital markets","49,758"
Lucid AI,https://www.crunchbase.com/organization/lucid-holdings,"Analytics, Artificial Intelligence (AI), Big Data, Enterprise Software, Intelligent Systems, Internet of Things, Machine Learning, Social Media, Software","Austin, Texas, United States",Lucid is a software and services company that uses causal reasoning AI for solving big data problems.,"49,768"
Singularity Cloud,https://www.crunchbase.com/organization/startdt,"Artificial Intelligence (AI), Big Data, Data Center, Data Center Automation, Software","Hangzhou, Zhejiang, China",Singularity Cloud is a tech company focused on using big data and AI technology to enhance the business capabilities of enterprises.,"50,411"
Inbenta,https://www.crunchbase.com/organization/inbenta-semantic-search,"Artificial Intelligence (AI), Customer Service, E-Commerce, Machine Learning, Semantic Search, Virtual Assistant","Sunnyvale, California, United States",Inbenta is a conversational AI solution designed to improve customer engagement.,"50,570"
Origin AI,https://www.crunchbase.com/organization/origin-wireless-ow,"Home Health Care, Intelligent Systems, Motion Capture, Security, Sensor, Smart Home","Rockville, Maryland, United States",Smart WiFi Sensing AI,"50,707"
Intent,https://www.crunchbase.com/organization/intent-media,"Advertising, Analytics, Artificial Intelligence (AI), Big Data, E-Commerce, Media and Entertainment, Publishing","New York, New York, United States",<intent> is the data science company for the world’s leading online travel and commerce brands.,"50,720"
Techlabs,https://www.crunchbase.com/organization/techlabs-865a,"Artificial Intelligence (AI), Digital Marketing","Seoul, Seoul-t'ukpyolsi, South Korea",Techlabs is an advertising technology company that offers platform development using AI.,"50,727"
Pactum,https://www.crunchbase.com/organization/pactum-6283,Artificial Intelligence (AI),"Mountain View, California, United States",Pactum AI helps companies to unlock value from thousands of suppliers by automatically negotiating contracts on a massive scale.,"50,756"
Tellius,https://www.crunchbase.com/organization/tellius,"Analytics, Artificial Intelligence (AI), Intelligent Systems, Machine Learning, Predictive Analytics","Reston, Virginia, United States",Tellius is an AI-powered business analytics platform designed to help enterprises accelerate data-driven insight and decision-making.,"50,832"
uSens,https://www.crunchbase.com/organization/usens-inc-,"3D Technology, Artificial Intelligence (AI), Augmented Reality, Computer Vision, Human Computer Interaction, Machine Learning, Robotics, Software, Virtual Reality","San Jose, California, United States",uSens develops inside-out hand and position tracking technology for augmented and virtual reality,"50,946"
"Verdant Robotics, Inc.",https://www.crunchbase.com/organization/verdant-robotics,"Agriculture, AgTech, Artificial Intelligence (AI), Farming, Manufacturing, Robotics","Hayward, California, United States","Verdant builds AI-powered Smart Sprayers that weed, thin, fertilize & deliver nutrients at millimeter level.","51,272"
Qingwei Intelligent Technology,https://www.crunchbase.com/organization/qingwei-intelligent-technology,"Artificial Intelligence (AI), Robotics, Semiconductor","Beijing, Beijing, China",Qingwei Intelligent Technology is a Chinese artificial intelligence (AI) chip maker,"51,677"
Chattermill,https://www.crunchbase.com/organization/chattermill,"Analytics, Artificial Intelligence (AI), Enterprise Software, Machine Learning, Natural Language Processing, Software","London, England, United Kingdom","Chattermill is a customer intelligence platform that unifies and analyses your customer feedback, support, and conversation data.","51,698"
Soft Robot Tech,https://www.crunchbase.com/organization/soft-robot-tech,"Artificial Intelligence (AI), Robotics, Software","Beijing, Beijing, China",Soft Robot Tech is an Industrial automation flexible gripping robot service provider,"51,704"
Shelf Engine,https://www.crunchbase.com/organization/shelf-engine,"Grocery, Machine Learning, Predictive Analytics, Sales Automation, Software, Waste Management","Seattle, Washington, United States",Shelf Engine is a provider of an automated prediction engine that predicts the perfect amount of perishable goods to order.,"51,855"
WorldCom Hengqi,https://www.crunchbase.com/organization/platx,"Artificial Intelligence (AI), Cloud Data Services, Data Integration, Operating Systems","Haidian, Beijing, China","WorldCom Hengqi is an operating system & solution provider of intelligent operating systems using AI, big data & cloud technologies.","51,861"
VB Capital,https://www.crunchbase.com/organization/vb-capital,"Artificial Intelligence (AI), Blockchain, Financial Services, FinTech","Zürich, Zurich, Switzerland","Pioneering AI & blockchain in fintech. We offer advanced investment strategies in digital assets, shaping the future of finance.","51,907"
Heuron,https://www.crunchbase.com/organization/heuron,"Artificial Intelligence (AI), Computer Vision, Health Care, Health Diagnostics, Image Recognition, Information Technology, Machine Learning, Medical Device, Software","Incheon, Inch'on-jikhalsi, South Korea","Heuron co., Ltd. is an AI-based medical imaging and diagnostic solutions for Neurodegenerative disease.","52,185"
CasiVision Technology,https://www.crunchbase.com/organization/casi-vision,"Electronics, Industrial Automation, Machine Learning, Software","Henan, Henan, China",CASI Vision provides machine vision technology integration solutions.,"52,495"
Aginity,https://www.crunchbase.com/organization/aginity,"Analytics, Big Data, Data Integration, Predictive Analytics, Software","Los Gatos, California, United States","Aginity provides a platform, tools and applications for data integration, analytic integration to power marketing execution systems","52,627"
iGenius,https://www.crunchbase.com/organization/igenius-2,"Analytics, Artificial Intelligence (AI), Business Intelligence, Information Technology","Milan, Lombardia, Italy",iGenius provides augmented analytics for business data.,"52,635"
Sparta Software Corporation,https://www.crunchbase.com/organization/sparta-software-corp,"Artificial Intelligence (AI), Computer, Data Integration, Health Care, Machine Learning, Software, Wellness","Menlo Park, California, United States",Sparta Software Corporation offers the Trinsic Human Data Platform and Sparta Science Force Plates to help your organization thrive.,"52,886"
HealthPlix,https://www.crunchbase.com/organization/healthplix,"Artificial Intelligence (AI), Health Care, Internet, mHealth","Bangalore, Karnataka, India",HealthPlix is a digital health platform that uses AI technologies to support clinical decisions.,"52,949"
Caption Health,https://www.crunchbase.com/organization/bay-labs-inc,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Medical, Medical Device","Brisbane, California, United States",Caption Health is a medical company that uses artificial intelligence (AI) to interpret ultrasound exams.,"53,261"
Enlitic,https://www.crunchbase.com/organization/enlitic,"Analytics, Artificial Intelligence (AI), Biotechnology, Health Care, Image Recognition, Machine Learning, Medical Device, Natural Language Processing, Predictive Analytics, Software","San Francisco, California, United States",Enlitic builds AI deep learning products to streamline radiologists' workflows and improve healthcare diagnosis.,"53,592"
Crayon,https://www.crunchbase.com/organization/crayon-2,"Analytics, Artificial Intelligence (AI), Business Development, Business Intelligence, Machine Learning, Marketing, SaaS, Software","Boston, Massachusetts, United States",Competitive intelligence platform that enables businesses to see and seize opportunities & create sustainable advantages in their markets,"53,615"
