Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,LinkedIn,Twitter,Hub Tags,Full Description,Investor Type,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Last Funding Date,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Number of Lead Investors,Number of Acquisitions,Acquisition Status,Growth Category,Last Leadership Hiring Date,Last Layoff Mention Date,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),Similar Companies
Nayya,https://www.crunchbase.com/organization/nayya,"Artificial Intelligence (AI), Employee Benefits, Finance, Health Insurance, InsurTech, Software","New York, New York, United States","Nayya is a benefits experience platform that provides decision support and guidance during enrollment, and new employee onboarding.","31,400","Greater New York Area, East Coast, Northeastern US",10003,$10M to $50M,Active,2019-01-01,year,,,,,For Profit,http://www.nayya.com,https://www.linkedin.com/company/nayya,https://twitter.com/Nayya_Inc,,"At Nayya, we believe there’s a better way to choose and use benefits. A more transparent, less confusing way for employees to control their health and financial potential. Powered by billions of data points and machine learning, our benefits experience platform delivers personalized decision support and guidance during open enrollment, new employee onboarding, qualifying life events, and in the moments that matter all year round. This is one of the most stressful and challenging situations consumers face – and we see that as an opportunity to build an innovative response that can help millions of Americans possess the control and understanding they deserve. Join the consumers and their employers that are now living with more peace and confidence at Nayya.com.",,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Financial Services, Health Care, Science and Engineering, Software",3,"Akash Magoon, Aman Magoon, Sina Chehrazi",101-250,5,2022-03-01,Late Stage Venture,55000000,USD,55000000,Series C,Series C,55000000,USD,55000000,105700000,USD,105700000,105700000,USD,105700000,"ICONIQ Growth, (ERA) Entrepreneurs Roundtable Accelerator, New York Angels, SVB Capital, SemperVirens Venture Capital",18,4,,,Growing,,,0.7,0.5,-0.4,5
Replicant,https://www.crunchbase.com/organization/replicant-inc,"Artificial Intelligence (AI), Data Center Automation, Information Services, Information Technology, Machine Learning, Software","San Francisco, California, United States",Replicant is a contact center automation software that helps companies automate their most common customer service requests.,"31,429","San Francisco Bay Area, West Coast, Western US",94104,$1M to $10M,Active,2017-01-01,year,,,,,For Profit,https://www.replicant.ai/,https://www.linkedin.com/company/replicant/,https://twitter.com/Replicant_AI,Emerging Unicorn,"Replicant is an AI voice technology that solves problems over the phone, improves customer experience, and reduces cost. Replicant was founded on the belief that machines are ready to have useful, complex conversations that will transform the way they interact with the world. The company's initial focus was making Replicant listen closely, think quickly, take actions, and reply fast enough to be conversational. The brain needed to understand complex and colloquial speech patterns and interpret slang and humor. Piece by piece we built elegant tools that allowed Replicant to listen, think, speak, act and interact with the world.",,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",4,"Andrew Abraham, Benjamin Gleitzman, Gadi Shamia, Jack Abraham",101-250,4,2022-04-26,Early Stage Venture,78000000,USD,78000000,Series B,Series B,78000000,USD,78000000,113000000,USD,113000000,113000000,USD,113000000,"Green D Ventures, Alumni Ventures, Stripes, Costanoa Ventures, Atomic",11,3,,,,,,0.3,0.3,0.8,11
Pagaya,https://www.crunchbase.com/organization/the-pagaya-group,"Artificial Intelligence (AI), Big Data, FinTech, Machine Learning","New York, New York, United States",Pagaya enables financial institutions to expand access to more customers through its artificial intelligence network.,"31,536","Greater New York Area, East Coast, Northeastern US",10016,$500M to $1B,Active,2016-01-01,year,2022-06-23,day,,,For Profit,https://www.pagaya.com,https://www.linkedin.com/company/pagaya,https://twitter.com/pagayainv,,"Pagaya Investments (Pagaya) is a financial technology company reshaping the asset management space using machine learning and big data analytics to manage institutional money.  With a focus on fixed income and alternative credit, Pagaya offers a variety of discretionary funds to institutional investors including pension funds, insurance companies, and banks.  Pagaya’s unique technology platform — Pagaya Pulse — runs on a suite of artificial intelligence technologies and state-of-the-art algorithms to deliver a consistently high and scalable performance edge.",,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",1,Gal Krubiner,501-1000,13,2024-02-20,IPO,396000000,USD,396000000,Post-IPO Debt,Post-IPO Equity,75000000,USD,75000000,571250000,USD,571250000,2022250000,USD,2022250000,"Citi, JP Morgan Chase, Bank Hapoalim, Clal Insurance Enterprises Holdings, Israel Discount Bank",22,7,1,Made Acquisitions,,2023-11-24,,0.6,0.4,-3.7,6
Birdeye,https://www.crunchbase.com/organization/birdeye,"Artificial Intelligence (AI), Consumer Reviews, Customer Service, Lead Generation, Marketing, SaaS","Palo Alto, California, United States",Birdeye is an all-in-one Experience Marketing platform for multi-location businesses.,"31,684","San Francisco Bay Area, Silicon Valley, West Coast",94303,$100M to $500M,Active,2012-03-01,month,,,,,For Profit,https://birdeye.com,https://www.linkedin.com/company/birdeye,http://twitter.com/birdeye_,,"Birdeye helps businesses grow through happy customers. Over 60,000 businesses use Birdeye every day to attract new leads with listings, reviews, and referrals, convert them into customers with webchat and appointments and delight those customers with surveys, ticketing, and insights - all in one place. Using the Birdeye platform - AI, messaging, automation tools - businesses are delivering great customer experiences to 100M+ people. Founded in 2012, Birdeye is headquartered in Palo Alto, and led by alumni from Google, Amazon, Salesforce, and Yahoo. Birdeye is backed by Salesforce founder Marc Benioff, Yahoo co-founder Jerry Yang, Trinity Ventures, and World Innovation Lab.",,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Other, Professional Services, Sales and Marketing, Science and Engineering, Software",2,"Naveen Gupta, Neeraj Gupta",1001-5000,3,2022-03-10,Late Stage Venture,60000000,USD,60000000,Series C,Series C,60000000,USD,60000000,93000000,USD,93000000,93000000,USD,93000000,"Block, Inc., Accel-KKR, AME Cloud Ventures, Trinity Ventures, Marc Benioff",9,2,1,Made Acquisitions,,2019-12-05,,-0.1,-0.1,0.6,19
Ushur,https://www.crunchbase.com/organization/ushur-inc,"Artificial Intelligence (AI), Cloud Management, Machine Learning, Natural Language Processing, SaaS","Santa Clara, California, United States",Ushur is a cloud-based AI company that automates service workflows in both the backend process and conversational interfaces.,"31,716","San Francisco Bay Area, Silicon Valley, West Coast",95054,$10M to $50M,Active,2014-01-01,year,,,,,For Profit,https://ushur.com,https://www.linkedin.com/company/ushur-me,https://twitter.com/ushurInc,,"Ushur is a cloud-based automation platform that automates service workflows in both the backend process and conversational interfaces.The company develops intelligent automation solutions that include, Ushur Virtual Customer Assistant, smart technology that automates proactive member, claimant, agent, or broker communications across virtually any channel, reaching out to customers, understanding what they need, and automatically taking the next steps; Ushur SmartMail, a software that allows insurers to process high-volumes of the customer, agent and broker email automatically, allowing carriers to respond faster and efficiently; Ushur Flowbuilder, the web-based no-code builder allows claims, broker services, and customer support teams to build, deploy and track rich digital engagements that improve business agility and the customer experience while minimizing the burden on IT. By leveraging the company's Robotic Process Automation (RPA) and Language Intelligence Service Architecture (LISA), insurance companies can accelerating capital and time-intensive processes like claims, customer support, billing, and enrollment to digitally transform service workflows.",,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",2,"Henry Peter, Simha Sadasiva",101-250,5,2023-02-07,Late Stage Venture,50000000,USD,50000000,Series C,Series C,50000000,USD,50000000,92000000,USD,92000000,92000000,USD,92000000,"Third Point Ventures, Plug and Play, 8VC, Iron Pillar, Pentland Ventures",6,3,,,Growing,2021-04-13,,0.1,0.8,-0.5,7
Bluecore,https://www.crunchbase.com/organization/triggermail,"Advertising, Analytics, Artificial Intelligence (AI), E-Commerce, Marketing Automation, SaaS","New York, New York, United States",Bluecore connect casual shoppers to the products.,"31,768","Greater New York Area, East Coast, Northeastern US",10003-1502,$50M to $100M,Active,2013-01-01,year,,,,,For Profit,https://www.bluecore.com/,https://www.linkedin.com/company/bluecore/,https://twitter.com/Bluecore,Unicorn,"Bluecore is a Multi-Channel Marketing Platform that uses predictive intelligence to trigger, prioritize, and personalize retail marketing. By unifying, scoring, and activating consumer, behavior, and product data in one platform, Bluecore paints a comprehensive picture of each shopper and their historical,  and most uniquely, anticipated relationship with brand products and experiences. Today, Bluecore manages nearly 500 million shopper IDs and a cumulative product catalog second only to Amazon.",,,"Advertising, Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Sales and Marketing, Science and Engineering, Software",3,"Fayez Mohamood, Mahmoud Arram, Max Bennett",251-500,7,2021-08-05,Late Stage Venture,125000000,USD,125000000,Series E,Series E,125000000,USD,125000000,238219452,USD,238219452,238219452,USD,238219452,"Techstars, Gaingels, Right Side Capital Management, Georgian, CSC Upshot",11,3,1,Made Acquisitions,,2023-05-26,,0.2,0,-0.2,4
Saildrone,https://www.crunchbase.com/organization/saildrone,"Artificial Intelligence (AI), Big Data, Drones, Manufacturing, Marine Technology","Alameda, California, United States",Saildrone manufactures and operates a fleet of the capable and proven unmanned surface vehicles.,"31,966","San Francisco Bay Area, West Coast, Western US",94501,$1M to $10M,Active,2012-01-01,year,,,,,For Profit,https://www.saildrone.com,https://www.linkedin.com/company/saildrone-inc,https://www.twitter.com/saildrone,,"Saildrone designs and manufactures wind and solar-powered autonomous surface vehicles called Saildrones, which make cost-effective ocean data collection possible at scale. Saildrone builds high-resolution ocean datasets, working with governments and private companies around the globe. The company's vehicles collect data that provides unprecedented intelligence for climate, mapping, and maritime security applications and have sailed over 500,000 nautical miles and spent more than 13,000 days at sea. Saildrone believes that better inputs in planetary models in turn yield better outputs and that the new insights gained in weather forecasting, carbon cycling, global fishing, and climate change will have a tremendous impact on humanity.",,,"Artificial Intelligence (AI), Consumer Electronics, Consumer Goods, Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software",1,Richard Jenkins,101-250,6,2021-10-18,Late Stage Venture,100000000,USD,100000000,Series C,Series C,100000000,USD,100000000,188500000,USD,188500000,189500000,USD,189500000,"Social Capital, Emerson Collective, Horizons Ventures, Bond, Haystack",17,4,,,Growing,,,0.3,0.2,0,8
Verbit,https://www.crunchbase.com/organization/verbit-ai,"Artificial Intelligence (AI), Education, Legal Tech, Machine Learning, Media and Entertainment, Natural Language Processing","New York, New York, United States",Verbit is a comprehensive verbal intelligence platform for speech-intensive industries,"31,997","Greater New York Area, East Coast, Northeastern US",10016,$100M to $500M,Active,2017-01-01,year,,,,,For Profit,https://verbit.ai,https://www.linkedin.com/company/verbit,https://twitter.com/verbit_,Unicorn,"Verbit.ai is an AI company that specializes in combining capturing the spoken word using  artificial intelligence and supported by humans. It provides transcription and captioning solutions as well as Audio description, Translation, Dubbing and Note taking. It also offers Generative AI applications for unlocking the value of the spoken word. The company was founded in 2017 and headquartered in New York, United States.",,,"Artificial Intelligence (AI), Data and Analytics, Education, Media and Entertainment, Professional Services, Science and Engineering, Software",3,"Eric Shellef, Kobi Ben Tzvi, Tom Livne",501-1000,8,2021-11-23,Late Stage Venture,150000000,USD,150000000,Series E,Series E,150000000,USD,150000000,432000000,USD,432000000,569000000,USD,569000000,"Vertex Ventures, Stripes, Viola Ventures, Vintage Investment Partners, Discovery Ventures",25,8,5,Made Acquisitions,,2024-02-05,2024-03-05,0.2,0.8,-0.6,10
NotCo,https://www.crunchbase.com/organization/the-not-company,"Alternative Protein, Artificial Intelligence (AI), Food and Beverage, Food Processing","Santiago, Region Metropolitana, Chile",NotCo is a food tech company that uses artificial intelligence to create food from plants.,"32,051",Latin America,,$1M to $10M,Active,2015-01-01,year,,,,,For Profit,https://notco.com,https://www.linkedin.com/company/the-not-co-/,https://twitter.com/TheNotCo,Unicorn,NotCo is a food industry. They use technology to recreate the same products. They create food systems. They produce plant-based meat and dairy substitutes. They used artificial intelligence to make plant-based food that functions and animal-based tastes.,,,"Artificial Intelligence (AI), Data and Analytics, Food and Beverage, Science and Engineering, Software",3,"Karim Pichara Baksai, Matias Muchnick, Pablo Zamora",101-250,7,2022-12-12,Late Stage Venture,70000000,USD,70000000,Series D,Series D,70000000,USD,70000000,432999995,USD,432999995,432999995,USD,432999995,"IndieBio, L Catterton, Kaszek, DFJ Growth, General Catalyst",24,9,,,Growing,,2020-04-07,0,-0.3,-0.1,6
Invoca,https://www.crunchbase.com/organization/invoca,"Advertising, Analytics, Artificial Intelligence (AI), Digital Marketing, Telecommunications","Santa Barbara, California, United States","Invoca, the recognized leader in conversation intelligence AI for marketing, e-commerce, and contact center teams","32,097","West Coast, Western US",93101,$100M to $500M,Active,2008-05-01,day,,,,,For Profit,http://www.invoca.com,https://www.linkedin.com/company/invoca-com/,http://twitter.com/Invoca,Unicorn,"Invoca is the recognized leader in conversation intelligence AI that enables marketing, e-commerce, and contact center teams to drive efficient and profitable revenue growth by unlocking actionable insights from customer conversations. Through deep integrations with leading technology platforms, teams can turn conversation data into automated action to enhance every digital touchpoint and human interaction, leading to better experiences, more conversions, and higher revenue. With Invoca, top consumer brands, including AutoNation, DIRECTV, Mayo Clinic, Mutual of Omaha, and Verizon, experience unbelievable results powered by undeniable data. Invoca has raised $184M from leading venture capitalists, including Upfront Ventures, Accel, Silver Lake Waterman, H.I.G. Growth Partners, and Salesforce Ventures. For more information, visit www.invoca.com.",,,"Advertising, Artificial Intelligence (AI), Data and Analytics, Hardware, Sales and Marketing, Science and Engineering, Software",3,"Colin Kelley, Jason Spievak, Robert Duva",251-500,7,2022-06-14,Late Stage Venture,83000000,USD,83000000,Series F,Series F,83000000,USD,83000000,201499998,USD,201499998,201499998,USD,201499998,"StepStone Group, Industry Ventures, Bonfire Ventures, Accel, H.I.G. Growth Partners",14,6,1,Made Acquisitions,,2021-09-29,,0.2,0.2,1.8,8
Helm.ai,https://www.crunchbase.com/organization/helm-ai,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Machine Learning, Software","Menlo Park, California, United States","Helm.ai develops AI software for driver assistance systems, autonomous driving, and robotics.","32,168","San Francisco Bay Area, Silicon Valley, West Coast",94025,,Active,2016-01-01,year,,,,,For Profit,http://www.helm.ai,https://www.linkedin.com/company/helm.ai,https://twitter.com/helm_ai,,"Helm.ai develops AI software for driver assistance systems, autonomous driving, and robotics. Autonomous vehicle developers often rely on a combination of simulation and on-road testing, along with reams of datasets that have been annotated by humans, to train and improve the so-called “brain” of the self-driving vehicle. Helm.ai's software expedites the timeline and reduces costs; that lower cost also makes it particularly useful for advanced driver assistance systems. Helm.ai uses an unsupervised learning approach to develop software that can train neural networks without the need for large-scale fleet data, simulation, or annotation. The software is also agnostic to whatever compute and sensors are used in the vehicle, allowing Helm.ai to pitch to a diverse set of customers.",,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation",2,"Tudor Achim, Vlad Voroninski",11-50,8,2023-08-16,Late Stage Venture,55000000,USD,55000000,Series C,Series C,55000000,USD,55000000,155000000,USD,155000000,155000000,USD,155000000,"One Way Ventures, Amplo, Fontinalis Partners, Honda Motor, Adam D’Angelo",28,4,,,Growing,,,0.1,0.3,1.6,12
Bowery Farming,https://www.crunchbase.com/organization/bowery-farming-inc,"Agriculture, Farming, Machine Learning, Organic Food","New York, New York, United States","Bowery Farming uses vision systems, automation technology, and machine learning to monitor plants and their growth.","32,220","Greater New York Area, East Coast, Northeastern US",10001,$1M to $10M,Active,2015-01-01,year,,,,,For Profit,http://boweryfarming.com,https://www.linkedin.com/company/bowery-farming,https://twitter.com/BoweryFarming,Unicorn,"Bowery is the modern farming company growing the purest produce imaginable. It is on a mission to grow food for a better future by revolutionizing agriculture. By combining the benefits of the best local farms with advances made possible by technology, their indoor farms create the ideal conditions to grow post-organic produce you can feel good about eating. BoweryOS, its proprietary software system, uses vision systems, automation technology, and machine learning to monitor plants and all the variables that drive their growth 24/7. Because they control the entire process from seed to store, Bowery farms use zero pesticides, 95% less water, and are 100+ times more productive on the same footprint of land than traditional agriculture. Its produce is currently available at select Whole Foods and Foragers stores in the Tristate area and featured on the menus of Tom Colicchio’s New York restaurants Craft and Fowler & Wells.",,,"Agriculture and Farming, Artificial Intelligence (AI), Data and Analytics, Food and Beverage, Software",3,"Brian Falther, David Golden, Irving Fain",251-500,8,2022-02-25,,8400500,USD,8400500,Venture - Series Unknown,Venture - Series Unknown,8400500,USD,8400500,475900500,USD,475900500,625900500,USD,625900500,"Notable Capital, Fidelity, Gaingels, Third Sphere, Scott Belsky",39,7,1,Made Acquisitions,Growing,,,-0.1,-0.2,1,3
Riskified,https://www.crunchbase.com/organization/riskified,"E-Commerce, Fraud Detection, Machine Learning, Risk Management","New York, New York, United States","Riskified enables businesses to realize the full potential of eCommerce by making it safe, accessible, and frictionless.","32,237","Greater New York Area, East Coast, Northeastern US",,$100M to $500M,Active,2012-01-01,year,2021-07-28,day,,,For Profit,https://www.riskified.com,https://www.linkedin.com/company/riskified,http://twitter.com/Riskified,Exited Unicorn,"Riskified empowers businesses to realize the full potential of eCommerce by making it safe, accessible, and frictionless. We have built a next-generation platform that allows online merchants to create trusted relationships with their consumers. Leveraging machine learning that benefits from a global merchant network, our platform identifies the individual behind each online interaction, helping merchants—our customers—eliminate risk and uncertainty from their business. We drive higher sales and reduce fraud and other operating costs for our merchants and provide superior consumer experiences, as compared to our merchants’ performance prior to onboarding us.",,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Financial Services, Payments, Privacy and Security, Professional Services, Software",2,"Assaf Feldman, Eido Gal",501-1000,8,2021-07-28,IPO,,,,Post-IPO Equity,Post-IPO Equity,,,,228650000,USD,228650000,228650000,USD,228650000,"Fidelity, Phoenix Insurance Company, Entrée Capital, Capital One Ventures, Kreos Capital",18,6,,,Growing,,2024-02-13,0.2,0.7,-0.4,5
ZHIYI TECH,https://www.crunchbase.com/organization/zhiyi-tech-d631,"Apparel, Artificial Intelligence (AI), Fashion, Image Recognition","Xiaoshan, Zhejiang, China",Zhiyi Tech offers artificial intelligence technology services in the apparel industry.,"32,284",Asia-Pacific (APAC),,,Active,2018-01-29,day,,,,,For Profit,http://www.zhiyitech.cn,,,,"Zhiyi Tech develops a supply chain platform for intelligent clothing design. They offer services for digitalized trend forecasting, design selection, and supply chain organization. They provide clothing companies with core functions such as fashion trend prediction, design empowerment, and style recommendation, and expand to the downstream of the industrial chain via the SaaS portal, providing one-stop design and flexible production supply chain platform services.",,,"Artificial Intelligence (AI), Clothing and Apparel, Data and Analytics, Design, Science and Engineering, Software",1,Zeyu Zheng,101-250,3,2022-04-07,Early Stage Venture,100000000,USD,100000000,Series B,Series B,100000000,USD,100000000,101931879,USD,101931879,101931879,USD,101931879,"Kuaishou Technology, Legend Capital, CreditEase Fintech Investment Fund, GL Ventures LLC, Yonghua Capital",7,1,,,,,,-0.3,1.3,-0.1,9
KoBold Metals,https://www.crunchbase.com/organization/kobold-metals,"Machine Learning, Mineral, Mining, Software","Berkeley, California, United States",KoBold Metals is a developer of machine prospector technology that facilitates a search for cobalt ore locations digitally.,"32,333","San Francisco Bay Area, West Coast, Western US",,$10M to $50M,Active,2018-01-01,year,,,,,For Profit,https://www.koboldmetals.com,https://www.linkedin.com/company/koboldmetals,https://www.twitter.com/KoBold_Metals,Unicorn,"KoBold Metals invests in battery materials projects across the globe by combining basic ore-deposit science, big data, and scientific computing with patient private capital. The company's software uses datasets with conventional geochemical, geophysical, and geological data in statistical association models to identify prospects to ensure a cobalt supply for the electric vehicle revolution, enabling mineral exploration companies to find new sources of cobalt through machine learning and data analysis.",,,"Artificial Intelligence (AI), Data and Analytics, Natural Resources, Software",3,"Jeff Jurinak, Josh Goldman, Kurt Zenz House",101-250,3,2023-06-20,Early Stage Venture,195000000,USD,195000000,Series B,Series B,195000000,USD,195000000,407500000,USD,407500000,407500000,USD,407500000,"BHP, Breakthrough Energy Ventures, Andreessen Horowitz, Bond, T. Rowe Price",16,2,,,Growing,,,0.5,-0.1,-1.7,27
Dozera AI,https://www.crunchbase.com/organization/dozera-ai,"Artificial Intelligence (AI), Information Technology, Machine Learning, Software","Los Angeles, California, United States",Dozera AI is an AI research and deployment company that conducts research and implements machine learning.,"32,410","Greater Los Angeles Area, West Coast, Western US",CA 90028,,Active,2020-01-01,year,,,,,For Profit,https://www.dozera.in,https://www.linkedin.com/company/dozera-ltd/,https://twitter.com/DozeraAi?s=09,,"Dozera AI: Pioneering AI Research and Deployment Company Founded by Gursharn Arya in 2020 Dozera ai In the fast-paced world of artificial intelligence, Dozera AI has emerged as a groundbreaking research and deployment company. Founded in 2020 by Gursharn Arya, the company has quickly established itself as a key player in the field of machine learning. Leveraging cutting-edge technologies and a team of talented experts, Dozera AI is at the forefront of developing innovative AI solutions that drive progress and transformation across various industries. Founding and Vision: Dozera AI was established in 2020 by Gursharn Arya, a visionary entrepreneur with a passion for artificial intelligence. Recognizing the immense potential of AI to revolutionize industries and improve everyday lives, Arya set out to create a company that would spearhead advancements in the field. With a strong focus on research and development, Dozera AI aims to build intelligent systems capable of solving complex problems and augmenting human capabilities. Research and Development: At the heart of Dozera AI lies its robust research and development department. The company's talented team of data scientists, engineers, and researchers collaborates to push the boundaries of AI technologies. By conducting in-depth research and staying up-to-date with the latest advancements, Dozera AI ensures that it remains at the forefront of the rapidly evolving AI landscape. The company's research efforts encompass various domains, including natural language processing, computer vision, deep learning, and reinforcement learning. By exploring these areas, Dozera AI develops state-of-the-art algorithms and models that power its cutting-edge solutions. This research-driven approach allows the company to tackle complex challenges and provide innovative solutions tailored to meet the unique needs of its clients. Deployment of AI Solutions: Dozera AI doesn't limit its efforts to research alone. The company takes pride in its ability to deploy AI solutions that have a tangible impact on businesses and society. Leveraging its expertise in machine learning and data analysis, Dozera AI offers a range of services, including predictive analytics, intelligent automation, and personalized recommendation systems. By collaborating closely with clients, Dozera AI ensures a deep understanding of their specific requirements and challenges. This client-centric approach enables the company to develop tailored solutions that address key pain points and unlock new opportunities for growth. Through the deployment of AI solutions, Dozera AI empowers businesses to make data-driven decisions, optimize processes, and enhance overall efficiency. Industry Applications: Dozera AI's versatile solutions find applications in a wide array of industries. From healthcare and finance to manufacturing and retail, the company's AI technologies provide valuable insights and enable businesses to gain a competitive edge. For example, in healthcare, Dozera AI's predictive analytics models can assist in disease diagnosis and prognosis, while in finance, the company's algorithms facilitate fraud detection and risk management. Ethics and Transparency: As AI continues to permeate various aspects of society, Dozera AI places utmost importance on ethical considerations and transparency. The company adheres to rigorous ethical guidelines in the development and deployment of AI systems, ensuring fairness, accountability, and privacy protection. By fostering trust and transparency, Dozera AI aims to alleviate concerns and facilitate responsible AI adoption. Conclusion: Dozera AI, founded by Gursharn Arya in 2020, has rapidly emerged as a leading AI research and deployment company. With a focus on cutting-edge research and development, Dozera AI leverages the power of machine learning to develop innovative solutions across industries. By combining expertise, ethical considerations, and a commitment to transparency, Dozera AI is poised to continue pushing the boundaries of AI and shape a future where intelligent systems augment human capabilities for the betterment of society.",,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",1,Gursharn Arya,501-1000,3,2023-02-03,Seed,89278282,USD,89278282,Debt Financing,Angel,1000,USD,1000,6462816,USD,6462816,95741098,USD,95741098,"Gursharn Arya, Hani Yadav",2,1,,,,,,0,1.1,2.9,
Twelve Labs,https://www.crunchbase.com/organization/twelve-labs-62b5,"Generative AI, Information Technology, Software, Video","San Francisco, California, United States",Twelve Labs makes video foundation models accessible via APIs to empower businesses and developers to build intelligent video products.,"32,418","San Francisco Bay Area, West Coast, Western US",,$1M to $10M,Active,2021-03-01,month,,,,,For Profit,http://twelvelabs.io/,https://www.linkedin.com/company/twelvelabs/,https://twitter.com/twelve_labs,,"Twelve Labs is a platform that gives businesses and developers access to multimodal video understanding. The company's mission is to help developers build programs that can see, listen, and understand the world.",,,"Artificial Intelligence (AI), Information Technology, Media and Entertainment, Software, Video",5,"Aiden Lee, Dave Chung, Jae Lee, SJ Kim, Soyoung Lee",11-50,5,2024-06-04,Early Stage Venture,50000000,USD,50000000,Series A,Series A,50000000,USD,50000000,77120000,USD,77120000,77120000,USD,77120000,"Intel, Techstars, Radical Ventures, NVentures, Korea Investment Partners",28,5,,,Growing,,,3.1,2.7,3.6,9
Xometry,https://www.crunchbase.com/organization/xometry,"3D Printing, Artificial Intelligence (AI), Industrial Engineering, Software","Gaithersburg, Maryland, United States",Xometry is an online marketplace that allows customers to access a network of machine shops and custom manufacturers.,"32,435","Washington DC Metro Area, East Coast, Southern US",20879,$10M to $50M,Active,2013-01-01,year,2022-02-04,day,,,For Profit,https://www.xometry.com,https://www.linkedin.com/company/xometry,https://twitter.com/xometry,,"Xometry is a AI-enabled marketplace for on-demand manufacturing, transforming one of the largest industries in the world. Xometry uses its proprietary technology to create a marketplace that enables buyers to efficiently source on-demand manufactured parts and assemblies, and empowers sellers of manufacturing services to grow their businesses.",,,"Artificial Intelligence (AI), Data and Analytics, Manufacturing, Science and Engineering, Software",2,"Laurence Zuriff, Randy Altschuler",501-1000,8,2020-09-09,IPO,75000000,USD,75000000,Series E,Series E,75000000,USD,75000000,197200000,USD,197200000,197200000,USD,197200000,"Employee Stock Option Fund, T. Rowe Price, GE Ventures, Dell Technologies Capital, Greenspring Associates",15,7,4,Made Acquisitions,Growing,2024-02-29,,0.3,0.8,-0.4,61
Tredence,https://www.crunchbase.com/organization/tredence,"Analytics, Artificial Intelligence (AI), Consulting, Information Technology","San Jose, California, United States",Tredence provides an AI-enabled data strategy solution focusing on the last-mile problem.,"32,480","San Francisco Bay Area, Silicon Valley, West Coast",95124,$10M to $50M,Active,2013-01-01,year,,,,,For Profit,http://tredence.com,https://www.linkedin.com/company/tredence,https://www.twitter.com/tredenceinc,Emerging Unicorn,Tredence provides an AI-enabled data strategy solution focusing on the last-mile problem. It bridges the gap between insights delivery and value realization by enabling last-mile adoption of data science.,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software",3,"Shashank Dubey, Shub Bhowmick, Sumit Mehra",1001-5000,2,2022-12-22,Early Stage Venture,175000000,USD,175000000,Series B,Series B,175000000,USD,175000000,205000000,USD,205000000,205000000,USD,205000000,"Chicago Pacific Founders, Advent International",2,2,,,Growing,2024-05-08,,0.5,1.5,-0.1,5
Deep Instinct,https://www.crunchbase.com/organization/deep-instinct,"Artificial Intelligence (AI), Cyber Security, Online Portals","New York, New York, United States","Deep Instinct applies deep learning to cybersecurity, offering zero-day attack protection.","32,520","Greater New York Area, East Coast, Northeastern US",,$10M to $50M,Active,2015-01-01,year,,,,,For Profit,http://www.deepinstinct.com,https://www.linkedin.com/company/deep-instinct,https://twitter.com/deepinstinctsec,,"Deep Instinct applies artificial intelligence’s deep learning to cybersecurity. Leveraging deep learning’s predictive capabilities, Deep Instinct’s on-device solution protects against zero-day threats and APT attacks with unmatched accuracy. Deep Instinct safeguards the enterprise’s endpoints and/or any mobile devices against any threat, on any infrastructure, whether or not connected to the network or to the Internet. By applying deep learning technology to cybersecurity, enterprises can now gain unmatched protection against unknown and evasive cyber-attacks from any source. Deep Instinct brings a completely new approach to cybersecurity enabling cyber-attacks to be identified and blocked in real-time before any harm can occur. Deep Instinct USA is headquartered in San Francisco, California and Deep Instinct Israel is headquartered in Tel Aviv, Israel.",,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Privacy and Security, Science and Engineering, Software",3,"Eli David, Guy Caspi, Nadav Maman",101-250,9,2023-03-07,,,,,Venture - Series Unknown,Venture - Series Unknown,,,,321600000,USD,321600000,321600000,USD,321600000,"NVIDIA, Samsung Ventures, BlackRock, Millennium Management, PayPal Ventures",20,5,,,Growing,2022-02-18,2022-06-08,0,0.1,2.2,9
