Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Number of Funding Rounds,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Organization Revenue Range,Organization Website,Organization Location,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - Nanome,https://www.crunchbase.com/funding_round/nanome-inc-seed--12d96d5c,Nanome,https://www.crunchbase.com/organization/nanome-inc,Seed,830000,USD,830000,2017-03-01,Seed,,,,Yes,Nanome is a software company that offers a collaborative XR software platform for scientific discovery,"Artificial Intelligence (AI), Biopharma, Biotechnology, Software, Virtual Reality",,5,Early Stage Venture,6430000,USD,6430000,$1M to $10M,http://nanome.ai,"San Diego, California, United States, North America",,"Keshif Ventures, Sparkland Capital, VIVE X",3,,"96,532"
Seed Round - Zippia,https://www.crunchbase.com/funding_round/zippia-inc-seed--7beb79d9,Zippia,https://www.crunchbase.com/organization/zippia-inc,Seed,2250000,USD,2250000,2017-01-27,Seed,,,,Yes,Zippia offers every person access to all of their career options and how those various paths will impact their professional lives.,"Career Planning, Human Resources, Machine Learning, Training",,3,Early Stage Venture,11100000,USD,11100000,$1M to $10M,https://www.zippia.com,"San Mateo, California, United States, North America",MHS Capital,"CSC Upshot, MHS Capital",2,,"98,251"
Seed Round - Intellimize,https://www.crunchbase.com/funding_round/intellimize-seed--74567613,Intellimize,https://www.crunchbase.com/organization/intellimize,Seed,2000000,USD,2000000,2017-01-01,Seed,,,,Yes,Intellimize is a startup offering tools for marketers to drive conversions by personalizing websites.,"Advertising, Artificial Intelligence (AI), Internet, Machine Learning, SaaS",East Asian Founded,5,M&A,52000000,USD,52000000,$1M to $10M,https://www.intellimize.com,"San Francisco, California, United States, North America",Homebrew,"Adam Marchick, CSC Upshot, Homebrew, Pear VC",4,,"98,890"
Seed Round - Liner,https://www.crunchbase.com/funding_round/liner-inc-seed--7ae86354,Liner,https://www.crunchbase.com/organization/liner-inc,Seed,599768,USD,599768,2017-04-05,Seed,599768,USD,599768,Yes,Liner is Asia’s first AI Agent that helps users accomplish more with less time and effort.,"Apps, Artificial Intelligence (AI), Mobile Apps",,5,Early Stage Venture,14728902,USD,14728902,$1M to $10M,https://getliner.com/,"San Francisco, California, United States, North America","K-Bridge Ventures, Spring Camp","K-Bridge Ventures, Spring Camp",2,,"99,035"
Seed Round - Metamoto,https://www.crunchbase.com/funding_round/metamoto-inc-seed--a0f88f5f,Metamoto,https://www.crunchbase.com/organization/metamoto-inc,Seed,2000000,USD,2000000,2017-07-12,Seed,,,,Yes,Simulation as a Service for Autonomous Systems,"Autonomous Vehicles, Computer Vision, Machine Learning, Robotics, Simulation, Software, Software Engineering",,1,M&A,2000000,USD,2000000,Less than $1M,https://www.metamoto.com,"Redwood City, California, United States, North America",Motus Ventures,"Motus Ventures, Reshape, SK Ventures, Synapse Partners, UL Ventures, v1.vc, Western Technology Investment",7,1,"99,881"
Seed Round - Meya.ai,https://www.crunchbase.com/funding_round/meya-ai-seed--309ffc69,Meya.ai,https://www.crunchbase.com/organization/meya-ai,Seed,843000,USD,843000,2017-11-24,Seed,5000000,USD,5000000,Yes,"Meya.ai is a platform to build, train and deploy bots.","Artificial Intelligence (AI), Internet, Messaging",,3,Seed,1014500,USD,1014500,$1M to $10M,https://meya.ai/,"Kitchener, Ontario, Canada, North America",,"DTRIBE Capital, FundersClub, Trifecta Capital",3,,"100,030"
Seed Round - Acerta Analytics,https://www.crunchbase.com/funding_round/acerta-seed--53f5e41f,Acerta Analytics,https://www.crunchbase.com/organization/acerta,Seed,1750000,USD,1750000,2017-07-07,Seed,,,,Yes,Acerta Analytics is a software company that improves part quality in precision manufacturing through Machine Learning and AI,"Artificial Intelligence (AI), Automotive, Machine Learning, Manufacturing, Software",,6,Early Stage Venture,18632783,USD,18632783,$1M to $10M,https://acerta.ai,"Kitchener, Ontario, Canada, North America",OMERS Ventures,"Garage Technology Ventures, OMERS Ventures, Plug and Play, Radical Ventures, S28 Capital, Trifecta Capital",6,1,"100,085"
Pre Seed Round - Autify,https://www.crunchbase.com/funding_round/autifyhq-pre-seed--5df507e6,Autify,https://www.crunchbase.com/organization/autifyhq,Pre-Seed,510000,USD,510000,2017-07-31,Seed,,,,Yes,"Autify is an AI-powered tool that simplifies web and mobile application testing, allowing users to automate tests without having to code.","Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning, Software",,4,Early Stage Venture,26010000,USD,26010000,$1M to $10M,https://autify.com,"San Francisco, California, United States, North America",,"ANOBAKA, East Ventures, Genesia Ventures, GW Ventures, Kenji Niwa, Koichiro Yoshida, Shintaro Yamada, Yo Shibata",8,5,"101,239"
Pre Seed Round - ViaBot,https://www.crunchbase.com/funding_round/viabot-pre-seed--8dcfca6f,ViaBot,https://www.crunchbase.com/organization/viabot,Pre-Seed,500000,USD,500000,2017-09-12,Seed,,,,Yes,ViaBot develops and deploys maintenance robots for commercial properties.,"Artificial Intelligence (AI), Property Management, Robotics, Security, Software",,5,Seed,14415431,USD,14415431,$1M to $10M,http://www.viabot.com,"Sunnyvale, California, United States, North America",SOSV,"Asimov Ventures, HAX, SOSV",3,2,"100,543"
Initial Coin Offering - doc.ai,https://www.crunchbase.com/funding_round/doc-ai-initial-coin-offering--43d6e06f,doc.ai,https://www.crunchbase.com/organization/doc-ai,Initial Coin Offering,2300000,USD,2300000,2017-09-07,,,,,Yes,doc.ai is a digital health company designed for a new generation of medical research.,"Artificial Intelligence (AI), Clinical Trials, Health Care, Machine Learning, Medical, Software",Women Founded,7,M&A,43300000,USD,43300000,Less than $1M,http://www.doc.ai,"Palo Alto, California, United States, North America",Pantera Capital,Pantera Capital,1,,"101,178"
Venture Round - CAPA,https://www.crunchbase.com/funding_round/ateam-ventures-series-unknown--5725dd73,CAPA,https://www.crunchbase.com/organization/ateam-ventures,Venture - Series Unknown,2300000000,KRW,2029794,2017-09-04,,,,,Yes,CAPA brings personalized manufacturing to the hardware and software the company designs.,"3D Printing, Artificial Intelligence (AI), Graphic Design, Hardware, Manufacturing, Product Design, SaaS, Software",,5,Early Stage Venture,18300000000,KRW,15399704,$1M to $10M,https://capa.ai/,"Seoul, Seoul-t'ukpyolsi, South Korea, Asia",Altos Ventures,Altos Ventures,1,1,"102,702"
Pre Seed Round - Mentium Technologies,https://www.crunchbase.com/funding_round/mentium-pre-seed--908e4193,Mentium Technologies,https://www.crunchbase.com/organization/mentium,Pre-Seed,1100000,USD,1100000,2017-12-12,Seed,,,,Yes,"Mentium develops co-processors for AI at the Edge, specializing in mission-critical applications, both on ground and in Space.","Artificial Intelligence (AI), Semiconductor",,5,Seed,7194586,USD,7194586,$1M to $10M,http://www.mentium.tech,"Santa Barbara, California, United States, North America",,NASA,1,,"103,588"
Seed Round - Datalogue,https://www.crunchbase.com/funding_round/datalogue-seed--68b0b007,Datalogue,https://www.crunchbase.com/organization/datalogue,Seed,1500000,USD,1500000,2017-02-02,Seed,,,,Yes,Datalogue uses artificial intelligence to automate data preparation.,"Artificial Intelligence (AI), Information Services, Information Technology, Machine Learning",,4,M&A,4750000,USD,4750000,$1M to $10M,https://datalogue.io,"New York, New York, United States, North America",,"Big Red Ventures, Bloomberg Beta, Flybridge, Red Bear Angels",4,2,"107,395"
Convertible Note - SELECT,https://www.crunchbase.com/funding_round/select-convertible-note--9ab0a163,SELECT,https://www.crunchbase.com/organization/select,Convertible Note,580000,USD,580000,2017-07-13,,,,,No,Select improves our members' lives by improving the way businesses and customers connect.,"Artificial Intelligence (AI), Consumer, Credit Cards, Financial Services, FinTech, Mobile Apps, Payments, Restaurants, Travel","LGBTQ+ Founded, LGBTQ+ Led",10,,3275000,USD,3275000,$1B to $10B,http://www.meetselect.com,"Miami, Florida, United States, North America",,Gambit Ventures,1,,"106,254"
Seed Round - Leverage Edu,https://www.crunchbase.com/funding_round/leverage-edu-seed--5bf02f69,Leverage Edu,https://www.crunchbase.com/organization/leverage-edu,Seed,500000,USD,500000,2017-11-06,Seed,,,,Yes,AI-enabled marketplace designed to help students with their higher education and career growth plans,"Artificial Intelligence (AI), Career Planning, EdTech, Education, Higher Education, Internet, Marketplace",,10,Late Stage Venture,73773326,USD,73773326,$100M to $500M,http://www.leverageedu.com,"New Delhi, Delhi, India, Asia",,"Alok Mittal, Anil Advani, Deepak Jain, Dr Ritesh Malik, Jim Schimdktke, Rishi Dogra, Sprint Vc",7,,"109,150"
Seed Round - Accern,https://www.crunchbase.com/funding_round/accern-seed--0c36d159,Accern,https://www.crunchbase.com/organization/accern,Seed,1250000,USD,1250000,2017-05-15,Seed,12000000,USD,12000000,Yes,Enable superhuman efficiency across the global workforce with NLP,"Artificial Intelligence (AI), Big Data, Generative AI, InsurTech, Machine Learning, Natural Language Processing, Text Analytics",,9,Early Stage Venture,37755000,USD,37755000,$1M to $10M,https://accern.com,"New York, New York, United States, North America",,"26 Venture, Affinity Investment Group, Belmont Venture Capital, LLC, Chetrit Ventures, Gurtin Ventures, Liebenthal Ventures, Rostra Capital, Visary Capital, VYL LLC",9,,"106,775"
Seed Round - SomaDetect,https://www.crunchbase.com/funding_round/somadetect-seed--987219df,SomaDetect,https://www.crunchbase.com/organization/somadetect,Seed,1500000,CAD,1196454,2017-10-08,Seed,,,,Yes,SomaDetect provides dairy farmers with the information they need to produce the best possible milk.,"AgTech, Analytics, Artificial Intelligence (AI), Internet of Things, Machine Learning",,11,Early Stage Venture,14535579,USD,14535579,$1M to $10M,http://www.somadetect.com,"Thornhill, Ontario, Canada, North America",43North,"43North, Creative Destruction Lab (CDL), Government of Canada",3,,"111,819"
Seed Round - Zylotech,https://www.crunchbase.com/funding_round/dataxylo-seed--06514880,Zylotech,https://www.crunchbase.com/organization/dataxylo,Seed,1600000,USD,1600000,2017-12-01,Seed,,,,Yes,Zylotech is a B2B customer data platform that delivers trusted data governance for both people and companies.,"Analytics, Artificial Intelligence (AI), Big Data, Data Governance, SaaS, Software",Women Founded,2,M&A,7100000,USD,7100000,$1M to $10M,http://zylotech.com,"Cambridge, Massachusetts, United States, North America",,"Geekdom Fund, Half Court Ventures",2,1,"112,773"
Venture Round - FINDMINE,https://www.crunchbase.com/funding_round/findmine-series-unknown--30065ba8,FINDMINE,https://www.crunchbase.com/organization/findmine,Venture - Series Unknown,1709578,USD,1709578,2017-01-04,,,,,Yes,"FindMine is the leading solution for generating ""on-brand"" content in the retail industry - seen by over 100M shoppers/month","Analytics, Artificial Intelligence (AI), E-Commerce, Internet, Machine Learning, Retail, Retail Technology","Women Founded, Women Led",7,Early Stage Venture,10609578,USD,10609578,$1M to $10M,http://www.findmine.com,"New York, New York, United States, North America",XSeed Capital,"New York Angels, RevTech Ventures, Tuhaye Venture Partners, XSeed Capital",4,1,"112,659"
Seed Round - Vic.ai,https://www.crunchbase.com/funding_round/vic-ai-seed--a9bf52ef,Vic.ai,https://www.crunchbase.com/organization/vic-ai,Seed,1500000,USD,1500000,2017-08-01,Seed,,,,Yes,Vic.ai is an AI platform for accounting firms and enterprise finance departments.,"Accounting, Artificial Intelligence (AI), Financial Services, FinTech",,5,Late Stage Venture,114700000,USD,114700000,$1M to $10M,https://www.vic.ai,"New York, New York, United States, North America",Cowboy Ventures,"Axan Ventures, Connectivity Ventures Fund, Cowboy Ventures, Farvatn Venture",4,,"114,552"
"Seed Round - Workspace Software, Inc.",https://www.crunchbase.com/funding_round/workspace-seed--550b12d9,"Workspace Software, Inc.",https://www.crunchbase.com/organization/workspace,Seed,475000,USD,475000,2017-12-05,Seed,,,,Yes,Workspace Software provides a Project Intelligence Platform for technology teams.,"Analytics, Enterprise Software, Machine Learning, Project Management, SaaS, Service Industry, Software",,1,Seed,475000,USD,475000,Less than $1M,http://www.workspace.com/,"Hunt Valley, Maryland, United States, North America",TEDCO,"Benjamin Griswold, DOT Capital, TEDCO",3,,"114,604"
Seed Round - PainQx,https://www.crunchbase.com/funding_round/painqx-seed--bd343e8b,PainQx,https://www.crunchbase.com/organization/painqx,Seed,1600000,USD,1600000,2017-08-28,Seed,,,,Yes,PainQx is an AI-powered medical device company developing a next-generation approach to objectively measure and monitor pain in humans.,"Artificial Intelligence (AI), Clinical Trials, Health Care, Health Diagnostics, Machine Learning, Medical Device, Software",,5,Seed,3836377,USD,3836377,Less than $1M,http://www.painqx.com,"New York, New York, United States, North America",,"Accelerate New York Seed Fund, AJI Capital, Arizona Tech Investors, Italian Angels for Growth, Keiretsu Capital, MassChallenge, Mid Atlantic Bio Angels, New York Angels, NYU Innovation Venture Fund",9,,"115,374"
Seed Round - Safe Security,https://www.crunchbase.com/funding_round/lucideus-seed--a1fcc641,Safe Security,https://www.crunchbase.com/organization/lucideus,Seed,2200000,USD,2200000,2017-05-10,Seed,,,,Yes,Safe Security is a cyber risk management startup that helps organizations mitigate cyber risk in real-time.,"Artificial Intelligence (AI), Cyber Security, Information Technology, Network Security, Risk Management",,7,Early Stage Venture,99200000,USD,99200000,$50M to $100M,https://www.safe.security,"Palo Alto, California, United States, North America","Kulmeet Bawa, Rajan Anandan","Amit Ranjan, Anurag Goel, Govind Rajan, Jonathan Boutelle, Kulmeet Bawa, Rahul chawla, Rajan Anandan, Salil Donde, Sunil Kalra, Vellayan Subbiah, Victor J Menezes, Vivek Bajoria",12,,"116,222"
Funding Round - Minerva Intelligence Inc.,https://www.crunchbase.com/funding_round/minerva-intelligence-inc-undisclosed--135bcd7b,Minerva Intelligence Inc.,https://www.crunchbase.com/organization/minerva-intelligence-inc,Funding Round,1606780,CAD,1276964,2017-12-31,,,,,Yes,"Knowledge Engineering, Artificial Intelligence, SaaS, Semantics, Ontology, Taxonomy, INSPIRE, Explainable AI, Reasoning under uncertainty","Artificial Intelligence (AI), Geospatial, Information Technology, InsurTech, Internet, Machine Learning, Mining Technology, SaaS, Software",,2,IPO,8257331,CAD,6150719,$1M to $10M,https://minervaintelligence.com,"Vancouver, British Columbia, Canada, North America",,,,,"661,396"
Seed Round - XBrain,https://www.crunchbase.com/funding_round/xbrain-91dd-seed--33d75b4c,XBrain,https://www.crunchbase.com/organization/xbrain-91dd,Seed,700000000,KRW,616800,2017-10-10,Seed,,,,Yes,XBrain is an automated machine learning tool.,"Artificial Intelligence (AI), Machine Learning, Software",,2,Seed,700000000,KRW,616800,,https://xbrain.team/,"Seoul, Seoul-t'ukpyolsi, South Korea, Asia",Capstone Partners,"Capstone Partners, POSTECH Holdings",2,,"355,759"
Venture Round - AlpacaJapan,https://www.crunchbase.com/funding_round/alpacajapan-series-unknown--435faa5c,AlpacaJapan,https://www.crunchbase.com/organization/alpacajapan,Venture - Series Unknown,214000000,JPY,1889199,2017-01-25,,,,,Yes,Building cutting-edge capital markets AI technology working with number of financial institutions,"Artificial Intelligence (AI), Financial Services, FinTech, Machine Learning",,7,M&A,18894782,USD,18894782,$1M to $10M,https://www.alpaca.ai/,"Tokyo, Tokyo, Japan, Asia",,"D4V, Eric Di Benedetto, Mitsubishi UFJ Capital, Monex Ventures, NEC Capital Solutions, SMBC Venture Capital",6,,"419,393"
Grant - Insikt Intelligence,https://www.crunchbase.com/funding_round/insikt-intelligence-grant--2b95b31d,Insikt Intelligence,https://www.crunchbase.com/organization/insikt-intelligence,Grant,1533153,EUR,1810474,2017-10-01,,,,,No,Insikt Intelligence is a deep tech start up leveraging proprietary AI and Machine Learning for detection of online crime and threats.,"Analytics, Artificial Intelligence (AI), Big Data, Data Mining, Fraud Detection, Homeland Security, Law Enforcement, Legal, Machine Learning, Natural Language Processing",,1,,1533153,EUR,1810474,,http://www.insiktintelligence.com/,"Barcelona, Catalonia, Spain, Europe",,EASME - EU Executive Agency for SMEs,1,,"356,626"
