Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Announced Date,Organization Description,Diversity Spotlight,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Funding Round - Proofminder,https://www.crunchbase.com/funding_round/proofminder-undisclosed--02c71775,Proofminder,https://www.crunchbase.com/organization/proofminder,Funding Round,400000,EUR,423928,,,,,Yes,2023-02-23,"Proofminder puts an “agronomist” next to each plant, as our leaf-level farming platform sees things that are invisible for other solutions.",,"Agriculture, AgTech, Artificial Intelligence (AI), Farming, Machine Learning, Software, Training","Budapest, Budapest, Hungary, Europe",https://proofminder.com/,,400000,EUR,423928,,3,Impact Ventures Hungary,Impact Ventures Hungary,1,1,"526,898"
Seed Round - Underwriter,https://www.crunchbase.com/funding_round/underwriter-seed--b6b520e4,Underwriter,https://www.crunchbase.com/organization/underwriter,Seed,1000000000,KRW,739068,Seed,,,,Yes,2022-11-22,Underwriter is an insurance company that provides a wide range of insurance with the help of AI and machine learning.,,"Artificial Intelligence (AI), Data Mining, FinTech, Insurance, Machine Learning","Seoul, Seoul-t'ukpyolsi, South Korea, Asia",https://savenote.co.kr,,1000000000,KRW,739068,Seed,1,Seoul Techno Holdings,"Korea University Holdings, Seoul Techno Holdings, Strong Ventures",3,1,"282,311"
Seed Round - Padmi,https://www.crunchbase.com/funding_round/padmi-seed--408a4dda,Padmi,https://www.crunchbase.com/organization/padmi,Seed,541000,EUR,586153,Seed,,,,Yes,2023-03-23,Padmi is an artificial intelligence mobile application that serves technological assistance and support for individual internet users.,,"Artificial Intelligence (AI), Gaming, Mobile Apps","Madrid, Madrid, Spain, Europe",https://www.padmi.es,,541000,EUR,586153,Seed,1,Dozen Investments,Dozen Investments,1,,"513,614"
Equity Crowdfunding - LUUM,https://www.crunchbase.com/funding_round/foxeye-robotics-equity-crowdfunding--cd6edf07,LUUM,https://www.crunchbase.com/organization/foxeye-robotics,Equity Crowdfunding,699006,USD,699006,,23200000,USD,23200000,Yes,2022-03-11,LUUM is Revolutionizing Beauty Service with Automation.,Women Founded,"Artificial Intelligence (AI), Beauty, Cosmetics","Berkeley, California, United States, North America",http://luumlash.com,$1M to $10M,14646887,USD,14646887,Seed,6,,,,,"513,680"
Pre Seed Round - BANTgo,https://www.crunchbase.com/funding_round/bantgo-pre-seed--fe90ae87,BANTgo,https://www.crunchbase.com/organization/bantgo,Pre-Seed,700000,USD,700000,Seed,,,,Yes,2023-01-01,BANTgo is an AI and Blockchain technology company that incentivizes sustainable recycling behavior for consumers around the world.,,"Artificial Intelligence (AI), Blockchain, Chatbot, CleanTech, Web3","Dubai, Dubai, United Arab Emirates, Asia",https://bantgo.ae/,,1705500,USD,1705500,Seed,7,HH Sheikh Al Maktoum,HH Sheikh Al Maktoum,1,,"539,965"
Series A - AIxMed,https://www.crunchbase.com/funding_round/aixmed-series-a--2d3fc17b,AIxMed,https://www.crunchbase.com/organization/aixmed,Series A,499999,USD,499999,Early Stage Venture,,,,Yes,2022-04-15,AIxMed helps pathologists to digitize 3D cytology samples in minutes and extract clinical insights in seconds.,,"Artificial Intelligence (AI), Biotechnology, Machine Learning, Medical","Santa Clara, California, United States, North America",https://www.aixmed.com/,$1M to $10M,11019972,USD,11019972,,4,,,,,"537,168"
Angel Round - Mobgames.ai,https://www.crunchbase.com/funding_round/mobgames-ai-angel--d03c9498,Mobgames.ai,https://www.crunchbase.com/organization/mobgames-ai,Angel,258000,USD,258000,Seed,526530,USD,526530,Yes,2023-03-30,Artificial Intelligence video game development tools,,"Artificial Intelligence (AI), Software","Lewes, Delaware, United States, North America",https://mobgames.ai/,,758000,USD,758000,Seed,2,,,,,"537,959"
Seed Round - Impactive AI,https://www.crunchbase.com/funding_round/impactive-ai-seed--be44c979,Impactive AI,https://www.crunchbase.com/organization/impactive-ai,Seed,500000000,KRW,409877,Seed,,,,Yes,2022-03-21,Impactive AI is a software company that offers artificial intelligence-powered enterprise prediction solutions.,,"Artificial Intelligence (AI), Software","Seoul, Seoul-t'ukpyolsi, South Korea, Asia",https://impactive-ai.com,,500000000,KRW,409877,Seed,1,A2C Angels,A2C Angels,1,,"282,899"
Pre Seed Round - Quantifying Nature,https://www.crunchbase.com/funding_round/quantifying-nature-2f48-pre-seed--bd0075fb,Quantifying Nature,https://www.crunchbase.com/organization/quantifying-nature-2f48,Pre-Seed,300000,USD,300000,Seed,,,,Yes,2022-08-09,SaaS quantifying the financial risks of the climate-biodiversity crisis on corporates to mobilise targeted adaptation finance at scale.,,"B2B, Financial Services, Geospatial, GreenTech, Natural Language Processing, Natural Resources, Software, Sustainability","London, England, United Kingdom, Europe",https://www.quantifyingnature.com,,550000,USD,550000,Seed,3,,,,,"284,450"
Pre Seed Round - PerfectBot.AI,https://www.crunchbase.com/funding_round/perfectbot-pre-seed--eac64628,PerfectBot.AI,https://www.crunchbase.com/organization/perfectbot,Pre-Seed,2600000,PLN,556258,Seed,,,,Yes,2022-09-09,The #1 AI Agent for online stores,,"Artificial Intelligence (AI), Chatbot, Generative AI, SaaS","Warsaw, Mazowieckie, Poland, Europe",https://perfectbot.ai/,,2600000,PLN,556258,Seed,1,"KnowledgeHub, Tar Heel Capital Pathfinder","K2 Internet, KnowledgeHub, Maciej Maliszewski, Mikołaj Machowczyk, Tar Heel Capital Pathfinder, Łukasz Lewandowski",6,,"523,552"
Debt Financing - WSK Medical,https://www.crunchbase.com/funding_round/wsk-medical-debt-financing--38768893,WSK Medical,https://www.crunchbase.com/organization/wsk-medical,Debt Financing,250000,EUR,259287,,,,,No,2022-11-11,First AI solution on the market for real-time detection and classification of throat cancer.,,"Artificial Intelligence (AI), Information Technology, Machine Learning, Medical Device, Software","Amsterdam, Noord-Holland, The Netherlands, Europe",http://www.wskmedical.org,$1M to $10M,3001500,EUR,3353658,Seed,15,,,,,"525,255"
Pre Seed Round - Plugger.ai,https://www.crunchbase.com/funding_round/cameralyze-pre-seed--778eeaa5,Plugger.ai,https://www.crunchbase.com/organization/cameralyze,Pre-Seed,300000,USD,300000,Seed,,,,Yes,2022-02-21,"Access AI models effortlessly at Plugger.ai. Hundreds of models for your use, online or via API integration for AI-powered solutions.",,"Artificial Intelligence (AI), SaaS","Wilmington, Delaware, United States, North America",https://www.plugger.ai,,470000,USD,470000,Seed,4,,Heaventures,1,,"526,152"
Seed Round - Gigalogy,https://www.crunchbase.com/funding_round/gigalogy-seed--d2de27c8,Gigalogy,https://www.crunchbase.com/organization/gigalogy,Seed,48608000,JPY,420706,Seed,1904000000,JPY,16479248,Yes,2022-02-14,We offer AI personalization with blockchain based reward management for E-Commerce businesses.,,"Artificial Intelligence (AI), Blockchain, Internet, Software","Tokyo, Tokyo, Japan, Asia",https://gigalogy.com/,Less than $1M,48608000,JPY,420706,Seed,1,,,,,"553,715"
Pre Seed Round - Lightski,https://www.crunchbase.com/funding_round/lightski-pre-seed--2b04d3aa,Lightski,https://www.crunchbase.com/organization/lightski,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2023-04-05,Lightski develops ChatGPT assistant designed to offer services to the revenue teams.,,"Artificial Intelligence (AI), Information Technology, Messaging","San Francisco, California, United States, North America",https://www.lightski.com,,500000,USD,500000,Seed,1,Y Combinator,Y Combinator,1,,"527,528"
Pre Seed Round - Ikomia,https://www.crunchbase.com/funding_round/ikomia-pre-seed--0aada0a8,Ikomia,https://www.crunchbase.com/organization/ikomia,Pre-Seed,600000,EUR,654267,Seed,,,,Yes,2023-03-30,"Open Source Software, Computer Vision, Deep Learning, Image Processing, Artificial Intelligence",,"Artificial Intelligence (AI), Computer Vision, Image Recognition, Machine Learning, Software","La Rochelle, Poitou-Charentes, France, Europe",https://www.ikomia.ai,Less than $1M,600000,EUR,654267,Seed,1,,,,,"249,429"
Pre Seed Round - AiFlow,https://www.crunchbase.com/funding_round/aiflow-pre-seed--c277fe27,AiFlow,https://www.crunchbase.com/organization/aiflow,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2023-04-05,AI-Based Candidate Identification for the C-Suite,,"Artificial Intelligence (AI), FinTech, Natural Language Processing, Software","San Francisco, California, United States, North America",https://www.aiflow.solutions/,,500000,USD,500000,Seed,1,Y Combinator,"Hunt Scanlon Ventures, Y Combinator",2,3,"448,379"
Pre Seed Round - Lavo Life Sciences,https://www.crunchbase.com/funding_round/lavo-life-sciences-pre-seed--ba054cd7,Lavo Life Sciences,https://www.crunchbase.com/organization/lavo-life-sciences,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2023-04-05,Lavo Life Sciences is an early-stage startup that creates drug development software tools.,,"Artificial Intelligence (AI), Biotechnology, Pharmaceutical, Software","San Francisco, California, United States, North America",https://www.lavo.ai,,500000,USD,500000,Seed,1,Y Combinator,"Eastlink Capital, Y Combinator",2,,"569,660"
Debt Financing - ALBA Robot,https://www.crunchbase.com/funding_round/alba-robot-debt-financing--18b2a66e,ALBA Robot,https://www.crunchbase.com/organization/alba-robot,Debt Financing,500000,EUR,486995,,,,,No,2022-10-16,"ALBA Robot, and end to end mobility solution for silver economy",,"Artificial Intelligence (AI), Autonomous Vehicles, Internet, Internet of Things, Medical Device","Torino, Piemonte, Italy, Europe",https://www.alba-robot.com/,$1M to $10M,9146201,USD,9146201,,12,,Intesa Sanpaolo,1,,"570,463"
Seed Round - MM,https://www.crunchbase.com/funding_round/melanin-matchmaker-seed--9d5c0dfd,MM,https://www.crunchbase.com/organization/melanin-matchmaker,Seed,464000,GBP,567333,Seed,,,,Yes,2023-03-24,MM is a dating and events tech app merging A.I with in real life events to provide a more valuable and differentiated dating experience.,,"Apps, Artificial Intelligence (AI), Dating, Internet, Mobile Apps, Social Network","London, England, United Kingdom, Europe",https://mmmeet.com,,1064000,GBP,1315848,Seed,2,Raymond Wilson,"Raymond Wilson, SFC Capital, Taysir Fazal",3,,"389,586"
Pre Seed Round - Ace The Text,https://www.crunchbase.com/funding_round/ace-the-text-pre-seed--1dc3840e,Ace The Text,https://www.crunchbase.com/organization/ace-the-text,Pre-Seed,400000,USD,400000,Seed,,,,Yes,2022-01-01,Ace The Text is a Educational Platform.,,"Artificial Intelligence (AI), Higher Education, Machine Learning, Personal Development, Primary Education, Secondary Education, Service Industry, Skill Assessment, STEM Education, Tutoring","Boca Raton, Florida, United States, North America",http://www.acethetext.com,Less than $1M,400000,USD,400000,Seed,1,,,,,"232,680"
Seed Round - MARA Solutions,https://www.crunchbase.com/funding_round/mara-solutions-seed--8eb54f91,MARA Solutions,https://www.crunchbase.com/organization/mara-solutions,Seed,500000,EUR,526762,Seed,,,,Yes,2022-05-01,AI Review Reply Assistant & Customer Review Analytics,,"Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning, Natural Language Processing, SaaS, Software, Text Analytics","Mannheim, Baden-Wurttemberg, Germany, Europe",https://www.mara-solutions.com/,Less than $1M,747000,EUR,808430,Seed,3,,,,,"228,862"
Seed Round - AIHunters,https://www.crunchbase.com/funding_round/aihunters-seed--a044f931,AIHunters,https://www.crunchbase.com/organization/aihunters,Seed,360000,USD,360000,Seed,,,,Yes,2022-08-01,AI for video post-processing and editing. Human-like video understanding.,Women Founded,"Artificial Intelligence (AI), Cloud Computing, Computer Vision, Image Recognition, Intelligent Systems, Machine Learning, Media and Entertainment, Software, Video, Video Editing","Las Vegas, Nevada, United States, North America",https://cognitivemill.com,$1M to $10M,1080000,USD,1080000,Seed,2,,,,,"477,615"
Seed Round - HyperGPT,https://www.crunchbase.com/funding_round/hypergpt-seed--9f756297,HyperGPT,https://www.crunchbase.com/organization/hypergpt,Seed,480000,USD,480000,Seed,6000000,USD,6000000,Yes,2023-05-01,HyperGPT is a marketplace for all AI solutions and seamless SDK where you can access integrated AI solutions.,,"Artificial Intelligence (AI), Blockchain, Machine Learning, Marketplace","Old Road Town, Saint Thomas Middle Island, Saint Kitts and Nevis, North America",https://hypergpt.ai/,,1160000,USD,1160000,Seed,3,,Ferrum Network,1,,"410,889"
Grant - Shaddari Therapeutics,https://www.crunchbase.com/funding_round/shaddari-therapeutics-grant--0a43922a,Shaddari Therapeutics,https://www.crunchbase.com/organization/shaddari-therapeutics,Grant,350000,CAD,269276,,,,,No,2022-07-11,Shaddari leverages data with their artificial intelligence based APIs to build decision support tools in healthcare.,,"Artificial Intelligence (AI), Health Care, Information Technology, Software","Montreal, Quebec, Canada, North America",https://shaddari.com/,Less than $1M,350000,CAD,269276,Seed,3,Innovative Solutions Canada,Innovative Solutions Canada,1,,"467,621"
Pre Seed Round - MagnaPlay,https://www.crunchbase.com/funding_round/magnaplay-pre-seed--ca8b1cb0,MagnaPlay,https://www.crunchbase.com/organization/magnaplay,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2023-04-05,MagnaPlay is an AI-based gaming translation platform.,,"Artificial Intelligence (AI), Gaming, Translation Service","San Francisco, California, United States, North America",https://magnaplay.com,Less than $1M,500000,USD,500000,Seed,1,Y Combinator,"4M Holding, Lucas Lameiras, Y Combinator",3,1,"467,839"
Angel Round - Altura Platform,https://www.crunchbase.com/funding_round/altura-platform-angel--43999b0f,Altura Platform,https://www.crunchbase.com/organization/altura-platform,Angel,500000,EUR,549179,Seed,,,,Yes,2022-03-25,"Altura Platform helps you to identify opportunities, collaborate on writing your bid and analyse data on your performance.",,"Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning, Project Management","Utrecht, Utrecht, The Netherlands, Europe",https://www.altura.io,,3500000,EUR,3807690,Seed,2,Perry Oostdam,Perry Oostdam,1,,"158,227"
Convertible Note - Recruit N Refer Technology Inc.,https://www.crunchbase.com/funding_round/recruit-n-refer-convertible-note--22bf37b7,Recruit N Refer Technology Inc.,https://www.crunchbase.com/organization/recruit-n-refer,Convertible Note,400000,USD,400000,,40000000,USD,40000000,No,2022-04-03,Recruit N Refer is a CPA focused talent marketplace that serves the entire spectrum of the CPA journey from student to partnership track.,,"Accounting, Artificial Intelligence (AI), Big Data, Marketplace, Recruiting, SaaS","Vancouver, British Columbia, Canada, North America",https://inforecruitnrefer.ca/,,935865,USD,935865,Seed,9,,,,,"469,676"
Seed Round - Tensor Networks,https://www.crunchbase.com/funding_round/tensor-networks-seed--14c61fe6,Tensor Networks,https://www.crunchbase.com/organization/tensor-networks,Seed,300000,USD,300000,Seed,,,,Yes,2022-08-01,Mobile App and SaaS for Pattern-of-Life Analysis Platform SARAHAI.,,"Artificial Intelligence (AI), Big Data, Business Intelligence, Enterprise Applications, Physical Security, Public Safety, Software","Sunnyvale, California, United States, North America",http://www.tensornetworks.com/,$1M to $10M,500000,USD,500000,Seed,2,,,,,"469,686"
Pre Seed Round - Chara AI,https://www.crunchbase.com/funding_round/chara-ai-a2f5-pre-seed--0f5f0bbb,Chara AI,https://www.crunchbase.com/organization/chara-ai-a2f5,Pre-Seed,250000,USD,250000,Seed,,,,Yes,2022-04-01,What if we could discover thousands of new stories by solving one problem?,,"Artificial Intelligence (AI), Machine Learning, Software","Edinburgh, Edinburgh, City of, United Kingdom, Europe",https://chara.ai,,250000,USD,250000,Seed,1,,,,,"413,720"
Pre Seed Round - Cogo Insurance,https://www.crunchbase.com/funding_round/cogo-insurance-pre-seed--43f22a2e,Cogo Insurance,https://www.crunchbase.com/organization/cogo-insurance,Pre-Seed,600000,USD,600000,Seed,27083635,USD,27083635,Yes,2022-05-01,"AI-powered commercial auto insurtech tailored for “Smart Trucking” operations, owner operators, small fleets, and autonomous trucks.",,"Artificial Intelligence (AI), Autonomous Vehicles, Commercial Insurance, Fleet Management, Insurance, InsurTech, Logistics, Machine Learning, Predictive Analytics, Transportation","Dayton, Ohio, United States, North America",https://www.COGOinsurance.com,$1M to $10M,600000,USD,600000,Seed,2,,,,,"252,517"
Pre Seed Round - CorgiAI,https://www.crunchbase.com/funding_round/corgiai-pre-seed--a8308d17,CorgiAI,https://www.crunchbase.com/organization/corgiai,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2023-04-05,CorgiAI is an AI-based payment fraud prevention software for merchants.,,"Artificial Intelligence (AI), Machine Learning, Payments, Software","Singapore, Central Region, Singapore, Asia",https://www.corgilabs.ai/,,500000,USD,500000,Seed,2,Y Combinator,"Epic Angels, Y Combinator",2,,"255,481"
Seed Round - Vendelux,https://www.crunchbase.com/funding_round/vendelux-seed--a87d65b7,Vendelux,https://www.crunchbase.com/organization/vendelux,Seed,700000,USD,700000,Seed,,,,Yes,2022-10-13,Vendelux is a provider of an event intelligence platform.,,"Artificial Intelligence (AI), Business Intelligence, Events, SaaS","New York, New York, United States, North America",https://vendelux.com,$1M to $10M,17149995,USD,17149995,Early Stage Venture,3,,,,,"252,580"
Equity Crowdfunding - Predictiva,https://www.crunchbase.com/funding_round/predictiva-12c2-equity-crowdfunding--2fc4ac15,Predictiva,https://www.crunchbase.com/organization/predictiva-12c2,Equity Crowdfunding,605000,USD,605000,,25000000,USD,25000000,Yes,2023-01-31,We develop advanced Artificial Intelligence models utilising Deep Reinforcement Learning for autonomous financial trading.,,"Artificial Intelligence (AI), FinTech, Information Technology, Machine Learning, Software","Leicester, Leicester, United Kingdom, Europe",https://www.predictiva.co.uk/,,2840000,USD,2840000,Seed,6,Odin,Odin,1,,"256,524"
Grant - Melax Technologies,https://www.crunchbase.com/funding_round/melax-technologies-grant--46f2e63c,Melax Technologies,https://www.crunchbase.com/organization/melax-technologies,Grant,300000,USD,300000,,,,,No,2022-08-10,"Melax Technologies specializes in machine learning, software, domain, natural language processing and medical coding services.",,"Artificial Intelligence (AI), Domain Registrar, Machine Learning, Software","Houston, Texas, United States, North America",https://melaxtech.com/,Less than $1M,600000,USD,600000,M&A,2,National Institute of Allergy and Infectious Diseases,National Institute of Allergy and Infectious Diseases,1,,"488,251"
Grant - Sinopia Biosciences,https://www.crunchbase.com/funding_round/sinopia-biosciences-grant--d8366482,Sinopia Biosciences,https://www.crunchbase.com/organization/sinopia-biosciences,Grant,318000,USD,318000,,,,,No,2022-09-20,"Sinopia Biosciences enables data-driven drug discovery by means of multi-omics data, machine learning, network analyses, and disease models.",Women Led,"Artificial Intelligence (AI), Biopharma, Biotechnology, Machine Learning, Neuroscience","San Diego, California, United States, North America",http://www.sinopiabio.com,$1M to $10M,14409000,USD,14409000,,14,National Institute of Dental and Craniofacial Research (NIDCR),National Institute of Dental and Craniofacial Research (NIDCR),1,,"563,409"
Seed Round - WARGdrones,https://www.crunchbase.com/funding_round/wargdrones-seed--e37aa51d,WARGdrones,https://www.crunchbase.com/organization/wargdrones,Seed,300000,EUR,307872,Seed,,,,Yes,2022-08-01,"WARGdrones creates automated drone solutions, aided by artificial intelligence, to address complex tasks like explosive ordnance disposal.",,"Artificial Intelligence (AI), Drones, Software","Hamburg, Hamburg, Germany, Europe",https://wargdrones.de/en,$1M to $10M,1450000,EUR,1642052,Seed,7,,,,,"528,732"
Pre Seed Round - RED Atlas,https://www.crunchbase.com/funding_round/red-atlas-pre-seed--b2680c1c,RED Atlas,https://www.crunchbase.com/organization/red-atlas,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-01-02,"Real Estate Data, News, and Insight",,"Analytics, Artificial Intelligence (AI), Business Information Systems, Business Intelligence, Information Services, Information Technology, Machine Learning, News, Real Estate","San Juan, NA - Puerto Rico, Puerto Rico, North America",https://www.atlas.red,,1200000,USD,1200000,Seed,4,,,,,"381,091"
Pre Seed Round - Voolu,https://www.crunchbase.com/funding_round/voolu-pre-seed--9b1c1770,Voolu,https://www.crunchbase.com/organization/voolu,Pre-Seed,350000,GBP,421154,Seed,,,,Yes,2023-02-28,Voolu develops and creates a digital platform that provides assistance to property searching from multiple agencies.,,"Artificial Intelligence (AI), Information Technology, Property Management, Real Estate, Search Engine","Coventry, Coventry, United Kingdom, Europe",https://voolu.co.uk/,,350000,GBP,421154,Seed,1,,SFC Capital,1,,"381,909"
Seed Round - OpenINSIGHTS,https://www.crunchbase.com/funding_round/zio-seed--b31c5e82,OpenINSIGHTS,https://www.crunchbase.com/organization/zio,Seed,300000,USD,300000,Seed,,,,Yes,2022-07-27,OpenINSIGHTS is AI-driven customer analytics and predictive insights platform.,,"Analytics, Artificial Intelligence (AI), IaaS, Machine Learning, SaaS","Indianapolis, Indiana, United States, North America",http://www.openinsights.ci/,$100M to $500M,1900000,USD,1900000,Seed,3,,,,,"382,371"
Angel Round - Haylon Technologies,https://www.crunchbase.com/funding_round/haylon-technologies-angel--b9075cfd,Haylon Technologies,https://www.crunchbase.com/organization/haylon-technologies,Angel,330000,USD,330000,Seed,,,,Yes,2023-01-01,Haylon Technologies is enabling a new class of ultra-efficient battery packs.,,"Artificial Intelligence (AI), Battery, Clean Energy, CleanTech, Energy Management, Energy Storage, Machine Learning, Manufacturing, Software, Sustainability","Chicago, Illinois, United States, North America",https://www.haylontech.com/,,580000,USD,580000,Seed,4,,"Gies College of Business - University of Illinois Urbana-Champaign, NextFab, Polsky Center for Entrepreneurship and Innovation, Techstars",4,,"530,104"
Grant - Cogitativo,https://www.crunchbase.com/funding_round/cogitativo-grant--6f97c1c7,Cogitativo,https://www.crunchbase.com/organization/cogitativo,Grant,250000,USD,250000,,,,,No,2022-09-19,"Cogitativo is a machine learning enterprise offering world class solutions to hospitals, physicians, and payers.",,"Analytics, Artificial Intelligence (AI), Health Care, Machine Learning, Software","Berkeley, California, United States, North America",http://www.cogitativo.com/,$1M to $10M,23750000,USD,23750000,Early Stage Venture,3,Mission Daybreak,Mission Daybreak,1,,"382,517"
Pre Seed Round - OpenSight,https://www.crunchbase.com/funding_round/opensight-pre-seed--3bc1b8ad,OpenSight,https://www.crunchbase.com/organization/opensight,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2023-04-05,OpenSight provides AI-powered customer support automation services.,Women Founded,"Artificial Intelligence (AI), Information Services, Information Technology","San Francisco, California, United States, North America",https://opensight.ai,,500000,USD,500000,Seed,1,Y Combinator,Y Combinator,1,,"342,947"
Seed Round - ZAR,https://www.crunchbase.com/funding_round/wezzar-seed--ccd98bdb,ZAR,https://www.crunchbase.com/organization/wezzar,Seed,450000,USD,450000,Seed,,,,Yes,2022-03-03,Zar develops an artificial intelligence coaching platform for esports gamers.,,"Artificial Intelligence (AI), eSports, Gaming, Sports","Paris, Ile-de-France, France, Europe",https://zar.gg,$1M to $10M,1101250,USD,1101250,Seed,3,,,,,"533,031"
Seed Round - ProvenBase,https://www.crunchbase.com/funding_round/proved-professionals-seed--15c0901b,ProvenBase,https://www.crunchbase.com/organization/proved-professionals,Seed,500000,USD,500000,Seed,,,,Yes,2022-10-01,Sourcing Technology. Built For Diversity. Technology solutions that produces unbiased talent pools,,"Big Data, Business Intelligence, Information Services, Information Technology, Natural Language Processing, Predictive Analytics, Recruiting, Software","Fairfax, Virginia, United States, North America",https://provenbase.com/,$1M to $10M,2270000,USD,2270000,Seed,4,,,,,"320,954"
Seed Round - Smart Touch Technologies,https://www.crunchbase.com/funding_round/smart-touch-technologies-seed--4fe180cd,Smart Touch Technologies,https://www.crunchbase.com/organization/smart-touch-technologies,Seed,300000,EUR,319163,Seed,,,,Yes,2022-12-15,Intelligent Document Processing,,"Artificial Intelligence (AI), Document Management, Software","Bucharest, Bucuresti, Romania, Europe",https://www.smartouch.ro/,,300000,EUR,319163,Seed,1,Celer Capital,Celer Capital,1,,"542,929"
Pre Seed Round - Iliad,https://www.crunchbase.com/funding_round/iliad-674c-pre-seed--c598849a,Iliad,https://www.crunchbase.com/organization/iliad-674c,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2023-04-05,Iliad is an AI image generation system that allows users to create game assets.,,"Artificial Intelligence (AI), Gaming, Software","San Francisco, California, United States, North America",https://iliad.ai,,500000,USD,500000,Seed,2,Y Combinator,Y Combinator,1,,"451,786"
Pre Seed Round - Explo,https://www.crunchbase.com/funding_round/explo-bc8d-pre-seed--7558ed78,Explo,https://www.crunchbase.com/organization/explo-bc8d,Pre-Seed,500000,EUR,513119,Seed,,,,Yes,2022-08-01,Software for publishers to retain readers and increase digital revenue.,,"Artificial Intelligence (AI), News, Publishing, SaaS, Software","Kiel, Schleswig-Holstein, Germany, Europe",https://explo-gmbh.de,,500000,EUR,513119,Seed,1,,,,,"163,275"
Seed Round - Narrativa,https://www.crunchbase.com/funding_round/narrativa-seed--cca090c8,Narrativa,https://www.crunchbase.com/organization/narrativa,Seed,500000,EUR,532565,Seed,,,,Yes,2022-06-01,"Generative AI SaaS Platform. Automate content, optimize processes, and propel your business to new heights","Hispanic / Latine Founded, Hispanic / Latine Led","Analytics, Big Data, Biotechnology, Business Intelligence, Content, Generative AI, Life Science, Machine Learning, Natural Language Processing, Pharmaceutical","Santa Monica, California, United States, North America",http://www.narrativa.com,$1M to $10M,2442373,USD,2442373,Seed,6,,,,,"543,529"
Convertible Note - Avalo,https://www.crunchbase.com/funding_round/avalo-convertible-note--9f70b4a0,Avalo,https://www.crunchbase.com/organization/avalo,Convertible Note,750000,USD,750000,,,,,No,2022-01-14,Avalo is a plant biotech company using AI and evolution to make a more sustainable and resilient food system.,,"Agriculture, Biotechnology, Machine Learning","Durham, North Carolina, United States, North America",https://www.avalo.ai,$1M to $10M,3900000,USD,3900000,Early Stage Venture,4,,Alexandria Venture Investments,1,,"545,138"
Angel Round - Modelbit,https://www.crunchbase.com/funding_round/modelbit-angel--56e14767,Modelbit,https://www.crunchbase.com/organization/modelbit,Angel,750000,USD,750000,Seed,,,,Yes,2023-05-16,Modelbit provides deployment solutions for machine learning models.,,"Cloud Data Services, Information Technology, Machine Learning, Software","San Francisco, California, United States, North America",https://www.modelbit.com/,,5000000,USD,5000000,Seed,2,,,,,"144,519"
Pre Seed Round - Traceloop,https://www.crunchbase.com/funding_round/traceloop-pre-seed--17ce7257,Traceloop,https://www.crunchbase.com/organization/traceloop,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2023-04-05,Observability and testing for your LLM application,,"Machine Learning, Open Source, Software","Tel Aviv-yafo, Tel Aviv, Israel, Asia",https://www.traceloop.com,,500000,USD,500000,Seed,1,Y Combinator,Y Combinator,1,,"145,196"
Convertible Note - Astrikos.Ai,https://www.crunchbase.com/funding_round/astrikos-consulting-convertible-note--a7be070f,Astrikos.Ai,https://www.crunchbase.com/organization/astrikos-consulting,Convertible Note,480000,USD,480000,,,,,No,2023-03-31,"Actionable IoT-driven Platform by deriving Knowlede by ML for Operational Systems in the Smart City, Campus, Data Centres and Industry 5.0",,"Artificial Intelligence (AI), Consulting, Data Center Automation, Industrial Automation, Information and Communications Technology (ICT), Machine Learning, Natural Language Processing, Product Management, Smart Cities","Bangalore, Karnataka, India, Asia",https://astrikos.ai,Less than $1M,480000,USD,480000,,1,,,,,"461,224"
Seed Round - Neurobotx,https://www.crunchbase.com/funding_round/neurobotx-seed--c73eabd1,Neurobotx,https://www.crunchbase.com/organization/neurobotx,Seed,500000,USD,500000,Seed,,,,Yes,2022-09-11,"Neurobotx is a team of some of the world's brightest minds in neuroscience, VR, AI and robotics building the ultimate cognitive metaverse.",,"Air Transportation, Artificial Intelligence (AI), Autonomous Vehicles, Image Recognition, Information Technology, Internet of Things, Metaverse, Natural Language Processing, Software, Virtual Reality","Dubai, Dubai, United Arab Emirates, Asia",https://www.neurobotx.ai,,601777,USD,601777,Seed,3,The Boeing Company,"(ERA) Entrepreneurs Roundtable Accelerator, Gothams UAE, The Boeing Company",3,,"523,744"
